dt,date,period,individual,leaf,canopy,time,wp,comments
2026-06-25T10:49:00Z,2026-06-25,PD,1,1,Lower canopy,03:49:00,-0.5,NA
2026-06-25T10:52:00Z,2026-06-25,PD,1,2,Lower canopy,03:52:00,-0.2,NA
2026-06-25T10:54:00Z,2026-06-25,PD,1,3,Lower canopy,03:54:00,-0.25,NA
2026-06-25T10:58:00Z,2026-06-25,PD,1,1,Upper canopy,03:58:00,-0.3,NA
2026-06-25T11:00:00Z,2026-06-25,PD,1,2,Upper canopy,04:00:00,-0.3,NA
2026-06-25T11:01:00Z,2026-06-25,PD,1,3,Upper canopy,04:01:00,-0.35,NA
2026-06-25T11:08:00Z,2026-06-25,PD,2,1,Lower canopy,04:08:00,-0.3,NA
2026-06-25T11:09:00Z,2026-06-25,PD,2,2,Lower canopy,04:09:00,-0.3,NA
2026-06-25T11:10:00Z,2026-06-25,PD,2,3,Lower canopy,04:10:00,-0.25,NA
2026-06-25T11:16:00Z,2026-06-25,PD,2,1,Upper canopy,04:16:00,-0.15,NA
2026-06-25T11:18:00Z,2026-06-25,PD,2,2,Upper canopy,04:18:00,-0.2,NA
2026-06-25T11:19:00Z,2026-06-25,PD,2,3,Upper canopy,04:19:00,-0.3,NA
2026-06-25T11:25:00Z,2026-06-25,PD,3,1,Lower canopy,04:25:00,-0.3,NA
2026-06-25T11:27:00Z,2026-06-25,PD,3,2,Lower canopy,04:27:00,-0.2,NA
2026-06-25T11:28:00Z,2026-06-25,PD,3,3,Lower canopy,04:28:00,-0.2,NA
2026-06-25T11:34:00Z,2026-06-25,PD,3,1,Upper canopy,04:34:00,-0.1,NA
2026-06-25T11:36:00Z,2026-06-25,PD,3,2,Upper canopy,04:36:00,-0.35,NA
2026-06-25T11:41:00Z,2026-06-25,PD,4,1,Lower canopy,04:41:00,-0.25,NA
2026-06-25T11:42:00Z,2026-06-25,PD,4,2,Lower canopy,04:42:00,-0.2,NA
2026-06-25T11:45:00Z,2026-06-25,PD,4,3,Lower canopy,04:45:00,-0.3,NA
2026-06-25T11:51:00Z,2026-06-25,PD,4,1,Upper canopy,04:51:00,-0.4,NA
2026-06-25T11:52:00Z,2026-06-25,PD,4,2,Upper canopy,04:52:00,-0.2,NA
2026-06-25T11:53:00Z,2026-06-25,PD,4,3,Upper canopy,04:53:00,-0.2,NA
2026-06-25T18:19:00Z,2026-06-25,MD,1,1,Lower canopy,11:19:00,-0.6,NA
