dt,Date,time,instrument,individual,canopy,period,condition,gsw_m,gsw_sd,gbw_m,gtw,E_apparent_m,VPcham_m,VPref_m,VPleaf_m,VPDleaf_m,Fs_m,Fm'_m,Fm'_sd,rh_s_m,rh_r_m,Tleaf_m,flow_m,flow_s_m
2026-06-24T13:00:00Z,2026-06-24,06:00:00,PSA-00618,1,Lower,early,predrought,-0.09658366666666666,0.004329213015472129,2.9201289999999998,-0.09989233333333333,-0.52135,2.7178543333333334,2.730507,3.165499,0.44764466666666664,256.96229600000004,558.6131593333333,24.307007287526517,88.79666666666667,89.21333333333334,24.923333333333332,156.5,155.56666666666666
2026-06-30T13:00:00Z,2026-06-30,06:00:00,PSA-00618,1,Lower,early,predrought,-0.11690866666666667,0.019647684274064797,2.919335333333333,-0.12188566666666667,-0.5683886666666667,2.7575393333333333,2.7712723333333336,3.1564433333333333,0.39890366666666666,216.19988,582.0332843333333,27.827957069909704,89.28,89.72666666666667,24.87666666666667,156.4,155.33333333333334
2026-07-01T13:00:00Z,2026-07-01,06:00:00,PSA-00618,1,Lower,early,drought,-3.800000000000013e-5,0.00535546832685994,2.783589,-4.466666666666667e-5,-5.72666666666667e-4,2.1863556666666666,2.186376,3.0156446666666668,0.829289,259.004954,601.2079876666667,12.13225580425604,71.16333333333334,71.16666666666667,24.113333333333333,141.46666666666667,140.96666666666667
2026-07-02T13:00:00Z,2026-07-02,06:00:00,PSA-00618,1,Lower,early,drought,-0.019826,0.023554103612746548,2.920538,-0.020091,-0.21586366666666668,2.576553666666667,2.5817846666666666,3.5060426666666666,0.929489,130.43284366666666,533.9051513333334,11.64285092819493,73.11,73.25666666666666,26.65,156.53333333333333,155.23333333333335
2026-07-03T13:00:00Z,2026-07-03,06:00:00,PSA-00618,1,Lower,early,drought,-0.010507333333333334,0.012067540981216237,2.9191883333333335,-0.010578666666666667,-0.09395233333333333,2.0866813333333334,2.088977,2.854832,0.768151,172.138456,555.1722003333333,12.774611259691296,73.82333333333334,73.90333333333334,23.203333333333333,156.36666666666667,155.53333333333333
2026-07-07T13:00:00Z,2026-07-07,06:00:00,PSA-00618,1,Lower,early,drought,-0.009227,0.007145369899452372,1.1086256666666667,-0.009336,-0.06915333333333333,3.0510303333333333,3.0572646666666667,3.6784863333333333,0.627456,150.29609166666668,543.248291,9.339816159054246,85.44666666666667,85.62333333333333,27.46666666666667,42,41.833333333333336
2026-07-08T13:00:00Z,2026-07-08,06:00:00,PSA-00618,1,Lower,early,drought,-0.021556333333333334,0.0013285670225221373,1.8775566666666665,-0.021807333333333335,-0.184363,2.9439436666666667,2.952849666666667,3.665389,0.7214456666666667,129.86170966666668,538.092041,16.261952127372265,80.72666666666666,80.97,27.406666666666666,78.43333333333334,78.03333333333333
2026-07-09T13:00:00Z,2026-07-09,06:00:00,PSA-00618,1,Lower,early,drought,-0.024391333333333334,0.002380247956271222,1.4351793333333334,-0.02481533333333333,-0.18566533333333332,2.9631683333333334,2.975598,3.6004346666666667,0.637266,123.18957033333332,540.8951413333333,10.875890348868726,82.62333333333333,82.97,27.10333333333333,56.46666666666667,55.96666666666666
2026-07-13T13:00:00Z,2026-07-13,06:00:00,PSA-00618,1,Lower,early,drought,-0.031273,0.010650896347256415,2.2108076666666667,-0.03175766666666667,-0.2230636666666667,2.9562573333333333,2.9649056666666667,3.562434,0.606177,139.410024,549.2440386666667,25.735579319461586,81.49,81.72666666666667,26.92,97.7,97.03333333333333
2026-07-14T13:00:00Z,2026-07-14,06:00:00,PSA-00618,1,Lower,early,drought,-0.091567,0.016970771255308343,2.082067,-0.095879,-0.5901036666666667,3.196390666666667,3.2211706666666666,3.722255,0.525864,170.807602,529.4489746666667,12.805620964040598,85.43666666666667,86.1,27.666666666666668,89.93333333333334,89.36666666666666
