dt,individual,canopy,period,condition,Obs#,Time,Date,configName,configAuthor,remark,Observation,...13,...14,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END,month,day,instrument
2026-06-22T14:53:14Z,1,Lower,morning,predrought,1,07:53:14,2026-06-22,Auto gsw+F,LI-COR Default,NA,1,NA,NA,-0.010551,2.919202,-0.010589,-0.084815,2.249944,2.252011,2.938088,0.688144,25.444225,25.420874,33.195827,0.441786,7.5,PSF-00548_20260622075314_3d7,0,0,0,169.848206,617.472656,0.72493,0.5,0.8,0.590521,1,76.64,76.71,23.67,23.68,23.68,88.51,156.4,155.3,0.7,2,4.1,07:53:00,2026-06-22,0.37,1,-0.001,-0.003,-0.007,2.006,4.312,10.502,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,615.879517,25,-1.53448,610.904236,615.27655,-4.372314,2.50448,2.487231,1.657336,0.928561,0.287623,7.06e-4,0.030852,0.109004,169.848206,2.22e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075314_3d7,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:53:34Z,1,Lower,morning,predrought,2,07:53:34,2026-06-22,Auto gsw+F,LI-COR Default,NA,2,NA,NA,-0.021286,2.920434,-0.021443,-0.172052,2.246604,2.250792,2.93593,0.689326,25.432322,25.385,33.173885,0.441786,7.5,PSF-00548_20260622075334_288,0,0,0,225.490448,622.171814,0.637575,0.5,0.8,2.994091,1,76.33,76.48,23.71,23.67,23.67,88.5,156.5,155.3,0.8,12,4.098,07:53:00,2026-06-22,0.37,1,-0.003,-0.001,0.002,2.185,4.089,10.192,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,621.999634,25,-0.23999,618.660461,621.828369,-3.167908,2.504159,2.486822,1.658606,0.928654,0.287148,1.15e-4,0.032594,0.117526,225.490448,2.21e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075334_288,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:53:48Z,1,Lower,morning,predrought,3,07:53:48,2026-06-22,Auto gsw+F,LI-COR Default,NA,3,NA,NA,0.003386,2.919736,0.003382,0.027239,2.234899,2.234236,2.927003,0.692104,25.244318,25.251816,33.0718,0.441786,7.5,PSF-00548_20260622075348_919,0,0,0,147.405624,581.208252,0.746381,0.5,0.8,1.133063,1,75.82,75.8,23.73,23.62,23.62,88.5,156.5,155.3,0.7,4,4.097,07:53:00,2026-06-22,0.37,1,-0.003,0.001,0.011,2.071,4.473,10.875,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,581.208252,25,1.243583,576.899902,582.988037,-6.088135,2.503259,2.486147,1.657886,0.92863,0.286862,-7.15e-4,0.033857,0.110548,147.405624,2.24e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075348_919,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:55:22Z,2,Lower,morning,predrought,4,07:55:22,2026-06-22,Auto gsw+F,LI-COR Default,NA,4,NA,NA,-0.022169,2.920514,-0.022339,-0.174777,2.398858,2.403103,3.069615,0.670757,27.164371,27.116388,34.69854,0.441786,7.5,PSF-00548_20260622075522_875,0,0,0,116.045952,521.008423,0.777267,0.5,0.8,0.896361,1,80.22,80.36,23.97,24.41,24.41,88.47,156.6,155.3,0.8,3,4.095,07:53:00,2026-06-22,0.37,1,0.002,0.004,0.009,1.024,2.148,4.552,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,519.636169,25,-0.879963,517.634155,519.749023,-2.114868,2.509199,2.491825,1.658688,0.928663,0.284121,0.005361,0.044125,0.109747,116.045952,2.26e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075522_875,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:55:40Z,2,Lower,morning,predrought,5,07:55:40,2026-06-22,Auto gsw+F,LI-COR Default,NA,5,NA,NA,2.65e-4,2.919713,2.65e-4,0.002061,2.396856,2.396806,3.062837,0.665981,27.093725,27.094292,34.622608,0.441786,7.5,PSF-00548_20260622075540_f84,0,0,0,110.747337,495.836029,0.776645,0.5,0.8,1.069963,1,79.82,79.82,24.04,24.37,24.37,88.46,156.5,155.3,0.8,3,4.093,07:53:00,2026-06-22,0.37,1,-0.005,-0.003,-0.017,0.493,1.1,2.282,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,495.836029,25,0.167266,493.844025,496.075409,-2.231384,2.508461,2.491284,1.657862,0.928429,0.283339,0.004188,0.046048,0.11024,110.747337,2.21e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075540_f84,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:55:56Z,2,Lower,morning,predrought,6,07:55:56,2026-06-22,Auto gsw+F,LI-COR Default,NA,6,NA,NA,0.016119,2.920142,0.01603,0.123364,2.404797,2.4018,3.064473,0.659676,27.152716,27.186592,34.644333,0.441786,7.5,PSF-00548_20260622075556_8a0,0,0,0,122.722862,535.846008,0.770974,0.5,0.8,0.199307,1,79.77,79.68,24.11,24.38,24.38,88.46,156.5,155.4,0.7,1,4.093,07:53:00,2026-06-22,0.37,1,-0.004,-0.001,0.016,0.894,1.953,4.156,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,535.846008,25,1.261764,533.360474,537.651794,-4.291321,2.508254,2.491209,1.658304,0.928793,0.282613,0.003575,0.047749,0.107783,122.722862,2.26e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075556_8a0,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:56:37Z,2,Upper,morning,predrought,7,07:56:37,2026-06-22,Auto gsw+F,LI-COR Default,NA,7,NA,NA,0.029513,2.918701,0.029218,0.193954,2.561901,2.557194,3.130101,0.5682,28.914038,28.967262,35.391869,0.441786,7.5,PSF-00548_20260622075637_721,0,0,0,99.874023,445.089417,0.775609,0.5,0.8,4.227098,1,84.02,83.87,24.3,24.74,24.74,88.44,156.3,155.5,0.6,14,4.093,07:53:00,2026-06-22,0.37,1,-0.001,-0.001,0.011,0.078,0.358,-0.029,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,445.032471,25,-0.119995,445.803162,444.917694,0.885468,2.513731,2.496723,1.65682,0.928953,0.280476,0.005394,0.052382,0.119181,99.874023,2.25e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075637_721,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:56:59Z,2,Upper,morning,predrought,8,07:56:59,2026-06-22,Auto gsw+F,LI-COR Default,NA,8,NA,NA,0.062862,2.919729,0.061537,0.374039,2.62131,2.612246,3.14135,0.52004,29.537346,29.639833,35.520061,0.441786,7.5,PSF-00548_20260622075659_ed2,0,0,0,104.125504,466.695801,0.776888,0.5,0.8,5.453414,1,85.34,85.05,24.42,24.8,24.8,88.44,156.5,155.3,0.7,18,4.085,07:53:00,2026-06-22,0.37,1,-0.002,-0.004,-0.012,0.324,-0.038,-0.089,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,466.695801,25,2.341718,468.939911,470.04718,-1.107269,2.51525,2.498424,1.657879,0.928513,0.279107,0.004699,0.054915,0.122627,104.125504,2.22e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075659_ed2,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:57:13Z,2,Upper,morning,predrought,9,07:57:13,2026-06-22,Auto gsw+F,LI-COR Default,NA,9,NA,NA,0.043016,2.919443,0.042391,0.291892,2.644805,2.637732,3.233546,0.588742,29.824593,29.904566,36.561413,0.441786,7.5,PSF-00548_20260622075713_dc0,0,0,0,101.477982,443.61377,0.771247,0.5,0.8,9.985952,1,85.72,85.5,24.5,25.28,25.28,88.44,156.4,155.4,0.7,32,4.09,07:53:00,2026-06-22,0.37,1,0,0.001,0.011,-0.404,-0.429,-0.706,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,443.61377,25,0.639973,444.508209,444.529663,-0.021454,2.515818,2.498906,1.657584,0.928672,0.278277,0.009275,0.056401,0.135644,101.477982,2.23e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075713_dc0,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
2026-06-22T14:57:48Z,1,Upper,morning,predrought,10,07:57:48,2026-06-22,Auto gsw+F,LI-COR Default,NA,10,NA,NA,0.024299,2.919713,0.024098,0.186328,2.495274,2.490752,3.157351,0.662076,28.158962,28.210093,35.695137,0.441786,7.5,PSF-00548_20260622075748_436,0,0,0,133.432037,439.296478,0.69626,0.5,0.8,10.134254,1,80.09,79.94,24.66,24.88,24.88,88.45,156.5,155.2,0.8,36,4.09,07:53:00,2026-06-22,0.37,1,0.003,0.004,-0.007,1.328,1.217,-0.691,1,150,0.005,2,0.058905,0,0.02923,0,0,-6.8e-5,standard,0,mpf,7000,500,5,2,300,300,300,439.296478,25,2.101729,439.390198,442.304413,-2.914215,2.508429,2.491467,1.657862,0.92832,0.276462,0.002992,0.060331,0.139173,133.432037,2.24e-4,2.389264,-6.4e-5,1,2.373994,-5e-5,1,0.600671,0.600225,0.107215,0,PSF-00548_20260622075748_436,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20Z,MEASUREMENT_END,6,22,PSA-00618
