instrument,Date,canopy,early,midday,morning,delta1,delta2
PSA-00618,2026-06-24,Lower,-0.09777225,-0.13265666666666667,0.06409933333333333,0.16187158333333335,-0.196756
PSA-00618,2026-06-30,Lower,-0.15083925,-0.09384525,-0.11560058333333333,0.03523866666666668,0.02175533333333332
PSA-00618,2026-07-01,Lower,-0.004557583333333333,NA,0.00703625,0.011593833333333333,NA
PSA-00618,2026-07-02,Lower,-0.01745708333333333,-0.0014456666666666665,-2.9499999999999996e-4,0.01716208333333333,-0.0011506666666666666
PSA-00618,2026-07-03,Lower,-0.008615833333333333,-0.0033983333333333335,-0.003693833333333333,0.004922,2.954999999999993e-4
PSA-00618,2026-07-07,Lower,-0.0024899166666666668,-0.022748916666666667,-0.004762916666666667,-0.0022730000000000003,-0.017986000000000002
PSA-00618,2026-07-08,Lower,-0.01627975,-0.03470391666666667,-0.009832833333333332,0.006446916666666667,-0.024871083333333335
PSA-00618,2026-07-09,Lower,0.025766749999999998,-0.086471,-0.004412416666666667,-0.030179166666666667,-0.08205858333333334
PSA-00618,2026-07-13,Lower,-0.02445425,-0.1667255,-0.0146955,0.00975875,-0.15203
PSA-00618,2026-07-14,Lower,-0.050895333333333334,-0.13459466666666667,-0.014438,0.036457333333333335,-0.12015666666666666
PSA-00618,2026-07-15,Lower,-0.04180233333333333,-0.2072955,-0.006234333333333333,0.035567999999999995,-0.20106116666666665
PSA-00618,2026-07-16,Lower,0.09851133333333334,-0.011313750000000001,0.004939000000000001,-0.09357233333333334,-0.016252750000000003
PSA-00618,2026-07-20,Lower,0.022197500000000002,-0.15433933333333333,-0.023409666666666665,-0.04560716666666667,-0.13092966666666667
PSA-00618,2026-07-21,Lower,-0.00751475,-0.07066558333333334,-0.035111166666666666,-0.027596416666666665,-0.03555441666666667
PSA-00618,2026-07-22,Lower,-0.022487833333333332,0.028676833333333332,-0.02821158333333333,-0.00572375,0.056888416666666664
PSA-00618,2026-07-23,Lower,-0.046413166666666665,-0.07943391666666667,-0.0014324166666666678,0.04498075,-0.0780015
PSA-00618,2026-06-22,Lower,NA,-0.019743916666666667,-0.005955916666666667,NA,-0.013788
PSA-00618,2026-06-24,Upper,-0.03773733333333333,0.12484141666666666,0.15338508333333334,0.19112241666666668,-0.028543666666666676
PSA-00618,2026-06-30,Upper,-0.10201783333333334,-0.14855116666666668,-0.04336575,0.058652083333333334,-0.10518541666666667
PSA-00618,2026-07-01,Upper,-0.0012658333333333332,NA,0.012650916666666668,0.013916750000000002,NA
PSA-00618,2026-07-02,Upper,-0.017600833333333333,-0.0033476666666666668,0.00985975,0.027460583333333333,-0.013207416666666668
PSA-00618,2026-07-03,Upper,-0.0069945833333333336,0.00816525,0.008603416666666667,0.015598,-4.3816666666666657e-4
PSA-00618,2026-07-07,Upper,0.016478916666666666,-0.018508166666666666,-0.001307,-0.017785916666666665,-0.017201166666666667
PSA-00618,2026-07-08,Upper,-0.020357833333333332,-0.030210916666666667,-0.006875833333333334,0.013481999999999997,-0.023335083333333333
PSA-00618,2026-07-09,Upper,0.040629,-0.08960966666666667,0.0037864166666666667,-0.03684258333333333,-0.09339608333333334
PSA-00618,2026-07-13,Upper,-0.0067225,-0.18086925,0.010644083333333334,0.017366583333333335,-0.19151333333333334
PSA-00618,2026-07-14,Upper,-0.027436833333333334,-0.13452016666666666,-0.01082875,0.016608083333333336,-0.12369141666666666
PSA-00618,2026-07-15,Upper,-0.015416333333333332,-0.2747779166666667,0.0016571666666666666,0.0170735,-0.27643508333333333
PSA-00618,2026-07-16,Upper,0.07829933333333333,-0.006457454545454545,0.12139616666666667,0.043096833333333334,-0.1278536212121212
PSA-00618,2026-07-20,Upper,0.0279685,-0.15030533333333332,-0.016111833333333332,-0.04408033333333333,-0.1341935
PSA-00618,2026-07-21,Upper,-2.5166666666666653e-4,-0.11411975,-0.0364895,-0.03623783333333334,-0.07763025000000001
PSA-00618,2026-07-22,Upper,-0.01655309090909091,-0.14118383333333334,-0.03085508333333333,-0.014301992424242422,-0.11032875
PSA-00618,2026-07-23,Upper,-0.0103455,-0.10364816666666667,-0.013294499999999999,-0.0029489999999999985,-0.09035366666666667
PSA-00618,2026-06-22,Upper,NA,0.07400641666666667,0.021947500000000002,NA,0.05205891666666667
PSA-01670,2026-06-23,Lower,0.5553338333333333,-0.18576016666666667,-0.020171333333333336,-0.5755051666666666,-0.16558883333333332
PSA-01670,2026-06-25,Lower,-0.06756141666666667,-0.202564,-0.10478275,-0.03722133333333333,-0.09778125
PSA-01670,2026-06-29,Lower,6.790000000000013e-4,NA,-0.18592491666666666,-0.18660391666666667,NA
PSA-01670,2026-06-23,Upper,0.58888325,-0.06309283333333333,0.07280358333333334,-0.5160796666666666,-0.1358964166666667
PSA-01670,2026-06-25,Upper,0.024479583333333332,-0.14786183333333333,-0.10279591666666667,-0.12727549999999999,-0.045065916666666664
PSA-01670,2026-06-29,Upper,0.11107841666666667,NA,-0.17646225,-0.28754066666666667,NA
