Obs#,Time,Date,configName,configAuthor,remark,Observation,,,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,flashID,Fo,Fm,Fv/Fm,Fs,Fm',PhiPS2,PS2/1,abs,ETR,TRANS,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,dark,flash_type,flash_intensity,modrate,flr_limit,flr_period,P1_dur,P2_dur,P3_dur,P1_Fmax,P2_ramp,P2_slp,P3_Fmax,P3_Pred,P3_DeltaF,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt,MEASUREMENT_HEADER_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
flashId,time,date,lciSerialNumber,lcpSerialNumber,lcfSerialNumber,Fm,Fo,Fv/Fm,Fm',Fs,PhiPS2,LightIntensity,data[],FLASH_HEADER_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4:40:57,7/14/2026,Auto gsw+F,LI-COR Default,,001,,,-0.093386,2.066187,-0.097807,-0.667624,3.119362,3.147713,3.701233,0.581871,35.505596,35.185806,41.749199,0.441786,7.5,PSF-00548_20260714044057_36c,0,0,0,199.064255,543.619751,0.633817,0.5,0.8,0.223108,1,83.56,84.32,27.72,27.57,27.57,88.65,89,88.3,0.7,1,4.095,4:40:34,7/14/2026,-0.24,1,0,-0.002,-0.008,-4.015,-3.751,23.591,1,150,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,5,2,300,300,300,543.619751,25,2.927148,541.975037,547.809021,-5.833984,2.513236,2.496007,1.135275,0.7734,0.244768,-0.001262,0.304845,0.107988,199.064255,0.000225,2.389264,-0.000064,1,2.373994,-0.00005,1,0.600671,0.600225,0.107215,0,PSF-00548_20260714044057_36c,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20.491Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSF-00548_20260714044057_36c,4:40:57,7/14/2026,PFA-00618,PSA-00618,PSF-00548,0,0,0,543.619751,199.064255,0.633817,7.558377,TIME,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.839999,0.849999,0.859999,0.869999,0.879999,0.889999,FLR,398.121002,497.598053,515.240173,522.429932,526.052368,528.385864,530.144348,531.676758,533.071167,534.333923,535.565613,536.59198,537.547241,538.43988,539.16803,539.86969,540.456177,540.963318,541.432495,541.812317,542.211792,542.459595,542.70636,542.933838,543.121216,543.267151,543.403748,543.488525,543.560059,543.619751,543.682007,543.888306,543.898315,544.130066,544.083923,544.291382,544.252014,544.426941,544.383301,544.518127,544.677246,544.580688,544.711243,544.665833,544.772034,544.866089,544.800293,544.853943,544.996277,544.888245,545.009521,545.017029,544.971558,545.053101,545.108215,545.15863,545.082825,545.140381,545.226562,545.251587,541.975037,541.825867,541.639954,541.487915,541.304443,541.128845,540.952209,540.804871,540.64679,540.480835,540.372498,540.154358,540.035278,539.917969,539.726257,539.578552,539.430481,539.286743,539.130798,538.955566,538.841858,538.63623,538.505676,538.377625,538.200989,538.056519,537.909485,537.750732,537.637695,537.478943,PAR,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6929.077148,6870.854004,6812.630859,6754.407715,6696.18457,6637.961914,6579.73877,6521.515625,6463.29248,6405.069336,6346.84668,6288.623535,6230.400391,6172.177246,6113.954102,6055.730957,5997.508301,5939.285156,5881.062012,5822.838867,5764.615723,5706.393066,5648.169922,5589.946777,5531.723633,5473.500488,5415.277344,5357.054688,5298.831543,5240.608398,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,PHASE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FLASH_END
2,4:41:15,7/14/2026,Auto gsw+F,LI-COR Default,,002,,,-0.07376,2.078508,-0.076474,-0.461331,3.218225,3.237636,3.732067,0.513842,36.520115,36.301163,42.097229,0.441786,7.5,PSF-00548_20260714044115_390,0,0,0,158.625488,526.020874,0.698443,0.5,0.8,0.801705,1,86.02,86.54,27.76,27.71,27.71,88.65,89.7,89,0.8,3,4.093,4:40:34,7/14/2026,-0.24,1,0.002,0.003,0.013,-0.661,-1.268,-6.736,1,150,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,5,2,300,300,300,526.020874,25,7.781487,527.124512,537.157471,-10.032959,2.516182,2.499266,1.140362,0.774866,0.24441,-0.000069,0.30557,0.109735,158.625488,0.000227,2.389264,-0.000064,1,2.373994,-0.00005,1,0.600671,0.600225,0.107215,0,PSF-00548_20260714044115_390,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20.491Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSF-00548_20260714044115_390,4:41:15,7/14/2026,PFA-00618,PSA-00618,PSF-00548,0,0,0,526.020874,158.625488,0.698443,9.547976,TIME,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.839999,0.849999,0.859999,0.869999,0.879999,0.889999,FLR,340.285065,455.924377,489.283569,503.442749,509.768127,513.16095,515.383606,516.985779,518.263916,519.273499,520.205505,520.904663,521.553772,522.139526,522.589111,523.002869,523.370483,523.690918,523.984924,524.238098,524.511353,524.691223,524.889343,525.101074,525.265198,525.437256,525.606018,525.731934,525.900391,526.020874,526.16394,526.456482,526.557312,526.873474,526.946045,527.211426,527.316956,527.549377,527.642029,527.841187,528.091187,528.087952,528.318665,528.377991,528.516052,528.732056,528.750671,528.882263,529.053223,529.061462,529.25708,529.327881,529.302856,529.460571,529.546387,529.670471,529.643311,529.757019,529.858948,529.9505,527.124512,527.04834,526.94751,526.85199,526.710388,526.602417,526.491516,526.344177,526.246887,526.094177,526.005127,525.869629,525.735168,525.629272,525.470825,525.323486,525.209778,525.083191,524.98053,524.854675,524.799255,524.6297,524.499512,524.394409,524.251343,524.109009,523.976318,523.860474,523.741699,523.583679,PAR,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6929.077148,6870.854004,6812.630859,6754.407715,6696.18457,6637.961914,6579.73877,6521.515625,6463.29248,6405.069336,6346.84668,6288.623535,6230.400391,6172.177246,6113.954102,6055.730957,5997.508301,5939.285156,5881.062012,5822.838867,5764.615723,5706.393066,5648.169922,5589.946777,5531.723633,5473.500488,5415.277344,5357.054688,5298.831543,5240.608398,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,PHASE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FLASH_END
3,4:41:32,7/14/2026,Auto gsw+F,LI-COR Default,,003,,,-0.107555,2.101506,-0.113356,-0.641356,3.251585,3.278163,3.733465,0.481879,36.973606,36.673843,42.108845,0.441786,7.5,PSF-00548_20260714044132_c19,0,0,0,154.733063,518.706299,0.701694,0.5,0.8,1.308784,1,86.73,87.44,27.79,27.72,27.72,88.66,91.1,90.8,0.3,5,4.091,4:40:34,7/14/2026,-0.24,1,0,-0.002,-0.011,0.002,-0.178,-2.924,1,150,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,5,2,300,300,300,518.706299,25,8.555999,520.389648,530.951355,-10.561707,2.517372,2.500202,1.149966,0.778731,0.244064,-0.000404,0.306384,0.11131,154.733063,0.00022,2.389264,-0.000064,1,2.373994,-0.00005,1,0.600671,0.600225,0.107215,0,PSF-00548_20260714044132_c19,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20.491Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSF-00548_20260714044132_c19,4:41:32,7/14/2026,PFA-00618,PSA-00618,PSF-00548,0,0,0,518.706299,154.733063,0.701694,11.341301,TIME,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.839999,0.849999,0.859999,0.869999,0.879999,0.889999,FLR,331.277832,446.603882,482.259399,497.17749,503.36087,506.555908,508.555054,509.995575,511.163239,512.09845,512.948181,513.596558,514.202332,514.7724,515.202637,515.602112,515.935059,516.213684,516.516907,516.75293,517.031555,517.235413,517.455688,517.659912,517.843018,518.028259,518.232117,518.383057,518.552917,518.706299,518.900513,519.178406,519.315002,519.643677,519.744873,520.046326,520.153992,520.407227,520.508423,520.792725,521.045898,521.101013,521.333801,521.367798,521.515137,521.724731,521.764771,521.927124,522.09375,522.104858,522.265442,522.357727,522.358398,522.537598,522.619507,522.757202,522.753235,522.827271,522.945312,523.017883,520.389648,520.291687,520.165771,520.049194,519.907959,519.722351,519.597534,519.47345,519.342163,519.194153,519.113281,518.957397,518.831482,518.70166,518.551453,518.4245,518.294312,518.167725,518.054749,517.897705,517.816528,517.645264,517.523315,517.38562,517.247559,517.117004,516.995789,516.860229,516.734375,516.584534,PAR,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6929.077148,6870.854004,6812.630859,6754.407715,6696.18457,6637.961914,6579.73877,6521.515625,6463.29248,6405.069336,6346.84668,6288.623535,6230.400391,6172.177246,6113.954102,6055.730957,5997.508301,5939.285156,5881.062012,5822.838867,5764.615723,5706.393066,5648.169922,5589.946777,5531.723633,5473.500488,5415.277344,5357.054688,5298.831543,5240.608398,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,PHASE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FLASH_END
4,4:42:04,7/14/2026,Auto gsw+F,LI-COR Default,,004,,,-0.076967,2.141245,-0.079837,-0.446665,3.250694,3.26873,3.727103,0.476409,36.875427,36.671955,42.046455,0.441786,7.5,PSF-00548_20260714044204_a8a,0,0,0,164.71875,549.882202,0.700447,0.5,0.8,0.307829,1,86.36,86.84,27.86,27.69,27.69,88.64,93.4,92.8,0.7,1,4.092,4:40:34,7/14/2026,-0.24,1,-0.004,-0.004,-0.014,-0.441,-1.445,-5.294,1,150,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,5,2,300,300,300,549.882202,25,5.588853,549.697266,557.880798,-8.183533,2.516545,2.499686,1.166908,0.783034,0.243395,-0.001528,0.308164,0.10818,164.71875,0.000222,2.389264,-0.000064,1,2.373994,-0.00005,1,0.600671,0.600225,0.107215,0,PSF-00548_20260714044204_a8a,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20.491Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSF-00548_20260714044204_a8a,4:42:04,7/14/2026,PFA-00618,PSA-00618,PSF-00548,0,0,0,549.882202,164.71875,0.700447,7.777046,TIME,0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.839999,0.849999,0.859999,0.869999,0.879999,0.889999,FLR,361.612213,484.236725,517.075195,531.154297,537.186035,540.174011,541.973206,543.179871,544.167969,544.922974,545.670776,546.230408,546.73114,547.175659,547.549377,547.922363,548.196655,548.486023,548.727722,548.923035,549.143311,549.261719,549.36145,549.480896,549.552063,549.654358,549.731995,549.796692,549.876465,549.882202,549.99054,550.206909,550.221558,550.515503,550.521973,550.742615,550.752625,550.933594,550.957581,551.114197,551.325562,551.281555,551.477905,551.472168,551.59021,551.758301,551.729309,551.870605,552.008972,551.977844,552.161316,552.208557,552.181702,552.33728,552.419556,552.505005,552.453491,552.5354,552.623413,552.682068,549.697266,549.575317,549.441589,549.312134,549.16333,549.018494,548.889038,548.730957,548.576843,548.415161,548.301453,548.122314,547.950256,547.801514,547.618042,547.468872,547.307983,547.153809,547.018982,546.839111,546.694275,546.511536,546.357727,546.220764,546.058044,545.892456,545.725098,545.56311,545.422913,545.233398,PAR,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6929.077148,6870.854004,6812.630859,6754.407715,6696.18457,6637.961914,6579.73877,6521.515625,6463.29248,6405.069336,6346.84668,6288.623535,6230.400391,6172.177246,6113.954102,6055.730957,5997.508301,5939.285156,5881.062012,5822.838867,5764.615723,5706.393066,5648.169922,5589.946777,5531.723633,5473.500488,5415.277344,5357.054688,5298.831543,5240.608398,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,6987.300293,PHASE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,FLASH_END
5,4:42:25,7/14/2026,Auto gsw+F,LI-COR Default,,005,,,-0.071758,2.175898,-0.074205,-0.406065,3.277932,3.293962,3.743788,0.465857,37.160076,36.979233,42.234688,0.441786,7.5,PSF-00548_20260714044225_f07,0,0,0,204.797028,585.41748,0.650169,0.5,0.8,0.127412,1,86.83,87.26,27.91,27.77,27.77,88.64,95.5,94.6,1,0,4.091,4:40:34,7/14/2026,-0.24,1,0.003,0.004,0.005,-1.972,-4.257,-11.361,1,150,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,0,mpf,7000,500,5,2,300,300,300,585.41748,25,4.523444,584.31604,591.891296,-7.575256,2.517093,2.500309,1.182058,0.787008,0.242925,-0.001213,0.309379,0.107645,204.797028,0.000225,2.389264,-0.000064,1,2.373994,-0.00005,1,0.600671,0.600225,0.107215,0,PSF-00548_20260714044225_f07,PFA-00618,PSA-00618,PSF-00548,RHS-0688,3.0.0,2022-04-21T19:36:20.491Z,MEASUREMENT_END,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
