dt,ID,TotalSapFlow_L_hr,Vh_Outer_cm_hr,Vh_Inner_cm_hr,Dendro_um,TDR315_VWC,SWC_Outer_percent,SWC_Inner_percent,radiation_mtn1300_PAR,humidity_mtn_100,humidity_mtn_300,humidity_mtn_700,humidity_mtn_1300,temperature_mtn_100,temperature_mtn_300,temperature_mtn_700,temperature_mtn_1300,humidity_mtn_2000,temperature_mtn_2000,VPD_1m,VPD_3m,VPD_7m,VPD_13m,VPD_20m,NW_PAR_1m,NW_PAR_3m,NW_PAR_7m,NW_PAR_13m,period,time,date
2021-11-19T22:15:00Z,SC,3.165,7.14,-0.1,5335,38.9,33.83,44.94,362.832524,84.5676,75.119471,77.289187,72.095017,28.751681,29.823389,30.645252,37.933527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,15:15:00,2021-11-19
2021-11-19T22:30:00Z,SC,NA,NA,NA,5334,38.9,NA,NA,191.720777,85.366451,76.648135,77.693543,66.378142,28.275001,29.580118,30.306644,37.525884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,15:30:00,2021-11-19
2021-11-19T22:45:00Z,SC,3.31,7.39,-0.02,5314,38.8,33.06,44.59,183.337781,85.57356,76.089268,76.355552,71.687373,28.196102,29.626142,30.000912,37.509446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,15:45:00,2021-11-19
2021-11-19T23:00:00Z,SC,3.14,7.04,-0.05,5312,38.8,33.85,44.7,158.846282,84.837171,75.066871,75.201657,65.043438,28.077754,29.261235,29.392733,36.835519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,16:00:00,2021-11-19
2021-11-19T23:15:00Z,SC,3.071,6.94,-0.11,5311,38.8,34.31,45.21,107.56207,84.212556,75.168782,74.47513,64.004604,27.985705,28.95879,29.077138,35.31343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,16:15:00,2021-11-19
2021-11-19T23:30:00Z,SC,2.967,6.71,-0.11,5310,38.8,35.17,45.35,43.78555,83.939698,72.785381,73.515195,68.3276,27.857495,28.422936,28.814142,33.081252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,16:30:00,2021-11-19
2021-11-19T23:45:00Z,SC,2.481,5.86,-0.36,5309,38.8,37.6,46.07,36.224416,82.558969,73.71573,72.841268,70.395406,27.344652,27.942968,27.69641,30.346094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,16:45:00,2021-11-19
2021-11-20T00:00:00Z,SC,2.347,5.58,-0.38,5309,38.9,38.3,46.09,16.499719,79.925722,73.258774,72.450062,71.401365,27.035632,27.209867,27.236167,28.156652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,17:00:00,2021-11-20
2021-11-20T00:15:00Z,SC,2.166,5.27,-0.48,5309,38.9,39.02,46.45,0.226844,82.328847,75.98407,72.54211,74.294321,26.529365,26.71675,27.367665,27.374239,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,17:15:00,2021-11-20
2021-11-20T00:30:00Z,SC,1.975,4.9,-0.54,5309,38.9,39.88,46.69,-3.718095,83.121123,75.395616,71.40794,74.392944,26.401154,26.401154,27.400539,27.147405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,17:30:00,2021-11-20
2021-11-20T00:45:00Z,SC,1.889,4.68,-0.51,5309,38.9,40.35,46.57,-4.375585,81.947503,74.15296,70.208021,73.21275,26.138158,26.52279,27.157268,27.068507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,17:45:00,2021-11-20
2021-11-20T01:00:00Z,SC,1.805,4.55,-0.57,5308,38.9,40.78,46.88,-4.375585,81.454386,72.548685,68.810855,72.055568,26.236782,26.203907,27.219729,26.927146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,18:00:00,2021-11-20
2021-11-20T01:15:00Z,SC,1.682,4.33,-0.63,5309,38.9,41.36,46.83,-4.539958,79.958596,71.197543,68.436086,71.536151,26.141446,26.39458,27.058644,26.927146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,18:15:00,2021-11-20
2021-11-20T01:30:00Z,SC,1.592,4.14,-0.64,5309,38.9,41.81,46.78,-4.70433,80.287341,71.020021,67.752296,70.083098,26.171033,26.141446,26.946871,26.835098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,18:30:00,2021-11-20
2021-11-20T01:45:00Z,SC,1.449,3.84,-0.66,5308,38.9,42.17,46.98,-4.375585,78.722515,70.523616,67.292053,70.145559,25.881737,26.302531,27.048782,26.927146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SC_winter21,18:45:00,2021-11-20
