TIMESTAMP,TotalSapFlow_L_hr,Vh_Outer_cm_hr,Vh_Inner_cm_hr,Dendro_um,TDR315_VWC,SWC_Outer_percent,SWC_Inner_percent,radiation_mtn1300_PAR,humidity_mtn_100,humidity_mtn_300,humidity_mtn_700,humidity_mtn_1300,temperature_mtn_100,temperature_mtn_300,temperature_mtn_700,temperature_mtn_1300,VPD_1m,VPD_3m,VPD_7m,VPD_13m
11/5/2021 14:45,8.223,12.09,15.76, ,46.5,30.7,35.96,197.473814,91.8,88.4,79.16,67.59,24.04,26.93,29.56,32.98,0.25,0.41,0.86,1.63
11/5/2021 15:00,8.205,12.05,15.74, ,46.5,30.6,35.26,155.230088,91.6,88.2,77.8,66.78,24.01,26.86,29.59,32.71,0.25,0.42,0.92,1.64
11/5/2021 15:15,8.048,11.71,15.56, ,46.4,31.2,37.03,477.071394,91.2,87.8,76.63,67.52,23.96,26.67,29.34,31.84,0.26,0.43,0.95,1.53
11/5/2021 15:30,7.82,11.46,15.03, ,46.4,31.89,38.42,229.855192,91.2,88.4,77.42,69.69,23.89,26.6,29.02,31.1,0.26,0.4,0.91,1.37
11/5/2021 15:45,7.893,11.63,15.1, ,46.3,32.13,38.7,339.491632,91.3,88.3,78.24,70.17,23.97,26.56,28.96,31.14,0.26,0.41,0.87,1.35
11/5/2021 16:00,7.933,11.54,15.34, ,46.2,32.18,38.68,298.069769,91.1,88.5,77.29,70.04,23.9,26.54,29.02,31.04,0.26,0.4,0.91,1.35
11/5/2021 16:15,8.062,11.81,15.5, ,46.2,31.7,38.3,122.84871,91,87.8,76.11,69.81,23.87,26.44,28.97,30.77,0.27,0.42,0.96,1.34
11/5/2021 16:30,8.477,12.36,16.36, ,46.1,31.48,37.41,196.158834,90.3,87.4,75.36,70.45,23.75,26.26,28.68,30.15,0.29,0.43,0.97,1.26
11/5/2021 16:45,8.687,12.47,16.98, ,46,30.36,34.35,79.290004,90.1,86.9,75.25,70.86,23.58,26.07,28.21,29.44,0.29,0.44,0.95,1.2
11/5/2021 17:00,8.861,12.62,17.43, ,46,29.02,31.03,52.826036,89.3,85.5,75.05,70.66,23.3,25.7,27.74,28.87,0.31,0.48,0.93,1.17
11/5/2021 17:15,8.406,12.04,16.46, ,46,28.09,28.71,14.034132,89.7,85.4,76.03,72.13,23.2,25.24,27.02,27.8,0.29,0.47,0.86,1.04
11/5/2021 17:30,7.99,11.47,15.62, ,46.2,29.48,28.52,0.391216,89.6,85.9,78.8,75.4,23.5,25.12,26.28,26.61,0.3,0.45,0.72,0.86
11/5/2021 17:45,7.108,10.06,14.05, ,46.3,32.23,30.1,-4.04684,88.5,85.1,79.03,77.43,23.58,25.02,25.8,25.85,0.33,0.47,0.7,0.75
11/5/2021 18:00,6.09,8.38,12.3, ,46.3,35.33,32.51,-4.375585,88,84.3,78.04,77.15,23.5,24.81,25.38,25.33,0.35,0.49,0.71,0.74
11/5/2021 18:15,4.997,6.86,10.11, ,46.3,38.49,35.74,-4.70433,87.6,84.4,78.8,77.44,23.43,24.6,24.8,24.93,0.36,0.48,0.66,0.71
11/5/2021 18:30,3.941,5.34,8.05, ,46.3,41.53,39.18,-5.033075,87.9,84.5,80.5,77.56,23.21,24.36,24.15,24.57,0.34,0.47,0.59,0.69
11/5/2021 18:45,2.992,4.03,6.14, ,46.5,44.56,42.79,-5.033075,88.1,84.3,81.2,77.85,22.8,24.03,23.69,24.09,0.33,0.47,0.55,0.66
