TIMESTAMP,TotalSapFlow_L_hr,Vh_Outer_cm_hr,Vh_Inner_cm_hr,Dendro_um,TDR315_VWC,SWC_Outer_percent,SWC_Inner_percent,radiation_mtn1300_PAR,humidity_mtn_100,humidity_mtn_300,humidity_mtn_700,humidity_mtn_1300,humidity_mtn_2000,temperature_mtn_100,temperature_mtn_300,temperature_mtn_700,temperature_mtn_1300,temperature_mtn_2000
10/29/2021 14:00,0.428,-1.19,2.04, ,0,104.26,80.54,893.098128,83.3,89.1,84.7,79.68,76.44,23.4,23.49,25.63,30.38,30.19
10/29/2021 14:15,0.247,-1.11,1.62, ,0,104.76,82.64,722.315127,83.2,88.9,84.6,79.49,76.98,23.41,23.54,25.65,30.36,30
10/29/2021 14:30,,,,,,,,260.099727,83.4,89,84.5,78.91,77.01,23.39,23.49,25.7,30.47,29.89
10/29/2021 14:45,,,,,,,,225.581507,83.5,89.1,84.4,77.66,76.91,23.36,23.48,25.65,30.56,29.79
10/29/2021 15:00,-0.468,-1.31,0.5, ,53.7,104.37,85.66,217.856001,83.5,89,84.4,77.1,77.01,23.34,23.43,25.59,30.53,29.64
10/29/2021 15:15,-0.657,-1.33,0.17, ,53.8,105.55,87.33,216.047904,83.6,89.2,84.7,77.4,76.95,23.33,23.35,25.45,30.17,29.4
10/29/2021 15:30,-0.803,-1.33,-0.1, ,53.6,106.57,88.5,291.001752,83.7,89.4,85,78.59,77.21,23.28,23.28,25.31,29.79,29.22
10/29/2021 15:45,-0.583,-1.3,-0.33, ,53.5,105.4,89.12,176.269765,83.8,89.6,85.2,78.74,76.81,23.22,23.21,25.21,29.48,29.07
10/29/2021 16:00,-1.173,-1.43,-0.62, ,53.7,106.41,90.37,193.364502,83.8,89.6,85,79.18,76.72,23.21,23.14,25.18,29.14,28.89
10/29/2021 16:15,-1.298,-1.32,-0.96, ,0,106.48,90.99,139.285958,83.5,89.5,85,78.8,75.99,23.14,23.02,25.02,28.81,28.66
10/29/2021 16:30,-1.5,-1.42,-1.22, ,2087,108.08,92.68,122.84871,83.2,89.2,84.7,78.74,75.55,23.01,22.86,24.76,28.33,28.3
10/29/2021 16:45,,,,,,,,110.027657,83.1,89.2,84.9,78.54,75.4,22.79,22.66,24.5,27.81,27.85
10/29/2021 17:00, , , , ,0, , ,116.602556,83,89,84.6,78.41,75.48,22.6,22.47,24.34,27.15,27.24
