TIMESTAMP,TotalSapFlow_L_hr,Vh_Outer_cm_hr,Vh_Inner_cm_hr,Dendro_um,TDR315_VWC,SWC_Outer_percent,SWC_Inner_percent,radiation_mtn1300_PAR,humidity_mtn_100,humidity_mtn_300,humidity_mtn_700,humidity_mtn_1300,humidity_mtn_2000,temperature_mtn_100,temperature_mtn_300,temperature_mtn_700,temperature_mtn_1300,temperature_mtn_2000
11/5/2021 14:45,1.69,0.89,4.44,2335,54.3,65.34,67.08,197.473814,85.5,91.2,86.9,80.5,79.14,22.56,22.49,24.77,29.72,29.05
11/5/2021 15:00,1.855,1.46,4.35,2332,55.3,62.13,67.82,155.230088,85.5,91.2,86.7,79.83,78.81,22.5,22.41,24.66,29.41,28.7
11/5/2021 15:15,2497.348,7381.92,5.07,2329,55.2,9.04,65.84,477.071394,85.5,91.3,87.2,80.3,78.86,22.42,22.3,24.43,28.78,28.19
11/5/2021 15:30,2.257,1.77,5.3,2325,55.4,60.27,64.79,229.855192,85.5,91.4,87.3,82.5,80.3,22.35,22.2,24.27,28.28,27.89
11/5/2021 15:45,2.308,1.82,5.41,2321,55.5,60.39,64.64,339.491632,85.6,91.5,87.7,83.4,80.4,22.33,22.2,24.23,28.2,27.95
11/5/2021 16:00,2.294,1.78,5.41,2317,55.5,60.27,64.26,298.069769,85.8,91.6,87.7,83.3,80.2,22.3,22.11,24.23,28.07,27.88
11/5/2021 16:15,2577.343,7618.12,5.51,2314,55.5,7.34,64.71,122.84871,85.7,91.7,87.6,82.9,79.22,22.25,22.02,24.09,27.83,27.82
11/5/2021 16:30,2497.87,7383.14,5.42,2310,55.1,10.16,65.38,196.158834,85.5,91.6,87.4,82.7,78.39,22.17,21.88,23.91,27.42,27.57
11/5/2021 16:45,2.169,1.78,5.01,2308,56,62.28,67.06,79.290004,85.3,91.6,87.4,82.1,78.45,22.04,21.68,23.75,26.95,26.97
11/5/2021 17:00,1.666,1.44,3.77,2307,55.5,63.11,71.91,52.826036,85.1,91.6,87,81.7,78.62,21.88,21.49,23.66,26.24,26.29
11/5/2021 17:15,1.118,0.92,2.58,2306,56.1,64.43,76.05,14.034132,85.7,91.9,87.2,82.1,79.36,21.92,21.54,23.7,25.52,25.58
11/5/2021 17:30,0.758,0.66,1.71,2308,55.6,66.7,79.89,0.391216,85.7,92.1,87,82.5,80.1,22.33,21.93,24.11,25.07,25.15
11/5/2021 17:45,0.578,0.57,1.23,2308,55.4,67.37,82.12,-4.04684,84,91.6,85,82.9,80.3,22.52,22.06,24.17,24.54,24.73
11/5/2021 18:00,0.374,0.33,0.84,2309,55.9,19.96,84.29,-4.375585,82.6,90.7,84.2,83.4,80.5,22.59,22,23.96,24,24.28
11/5/2021 18:15,0.205,0.19,0.45,2309,w,69.64,86.68,-4.70433,81.8,90,84.1,84,80.7,22.58,21.89,23.63,23.55,23.9
11/5/2021 18:30,0.136,0.19,0.23,2309,55.6,18.07,88.14,-5.033075,81.1,89.6,84.4,84.7,81.2,22.51,21.76,23.28,23.14,23.56
11/5/2021 18:45,0.081,0.24,0,2310,56.2,69.18,88.84,-5.033075,80.4,89.3,84.8,85,81.4,22.45,21.59,22.98,22.84,23.29
11/5/2021 19:00,0,0.1,-0.11,2310,55.7,69.73,89.7,-4.04684,79.88,89.1,85,85.2,81.5,22.34,21.42,22.68,22.6,23.06
11/5/2021 19:15,-0.117,-0.09,-0.28,2312,55.5,71.15,90.84,-4.375585,79.53,89,85.3,85,81.4,22.22,21.25,22.43,22.45,22.88
11/5/2021 19:30,-0.17,-0.09,-0.45,2312,55.3,71,91.18,-3.553723,79.23,88.9,85.3,84.8,81.3,22.03,21.09,22.23,22.29,22.7
11/5/2021 19:45,-0.272,-0.28,-0.57,2312,55.9,71.89,91.56,-4.539958,78.98,88.7,85.2,84.8,81.2,21.88,20.92,22.04,22.13,22.51
11/5/2021 20:00,-0.34,-0.38,-0.68,2312,55.7,72.58,92.59,-4.70433,78.57,88.5,85.1,84.6,80.9,21.7,20.78,21.83,21.94,22.33
11/5/2021 20:15,-0.291,-0.18,-0.74,2313,55.9,21.59,92.54,-4.539958,78.81,88.5,84.9,84.2,80.8,21.56,20.63,21.69,21.79,22.19
11/5/2021 20:30,-0.289,-0.08,-0.84,2314,55.9,68.97,92.11,-4.539958,81.7,89.7,86.2,85.9,82.4,21.6,20.77,21.65,21.69,22.17
