TIMESTAMP,TotalSapFlow_L_hr,Vh_Outer_cm_hr,Vh_Inner_cm_hr,Dendro_um,TDR315_VWC,SWC_Outer_percent,SWC_Inner_percent,radiation_mtn1300_PAR,humidity_mtn_100,humidity_mtn_300,humidity_mtn_700,humidity_mtn_1300,temperature_mtn_100,temperature_mtn_300,temperature_mtn_700,temperature_mtn_1300
11/19/2021 15:15,1.719,4.69,0.84,,47,28.23,38.18,362.832524,84.5676,75.119471,77.289187,72.095017,28.751681,29.823389,30.645252,37.933527
11/19/2021 15:30,1.702,4.61,0.87,,47,28.31,37.8,191.720777,85.366451,76.648135,77.693543,66.378142,28.275001,29.580118,30.306644,37.525884
11/19/2021 15:45,1.745,4.7,0.92,,47,28.26,37.75,183.337781,85.57356,76.089268,76.355552,71.687373,28.196102,29.626142,30.000912,37.509446
11/19/2021 16:00,1.719,4.72,0.81,,46.9,28.26,37.72,158.846282,84.837171,75.066871,75.201657,65.043438,28.077754,29.261235,29.392733,36.835519
11/19/2021 16:15,1.717,4.73,0.79,,46.9,28.07,37.63,107.56207,84.212556,75.168782,74.47513,64.004604,27.985705,28.95879,29.077138,35.31343
11/19/2021 16:30,1.702,4.72,0.75,,46.9,28.09,37.6,43.78555,83.939698,72.785381,73.515195,68.3276,27.857495,28.422936,28.814142,33.081252
11/19/2021 16:45,1.577,4.57,0.48,,46.6,28.02,38.01,36.224416,82.558969,73.71573,72.841268,70.395406,27.344652,27.942968,27.69641,30.346094
11/19/2021 17:00,1.426,4.3,0.25,,46.6,28.35,38.35,16.499719,79.925722,73.258774,72.450062,71.401365,27.035632,27.209867,27.236167,28.156652
11/19/2021 17:15,1.301,4.13,0,,46.6,28.69,38.87,0.226844,82.328847,75.98407,72.54211,74.294321,26.529365,26.71675,27.367665,27.374239
11/19/2021 17:30,1.161,3.87,-0.2,,46.6,29.09,39.09,-3.718095,83.121123,75.395616,71.40794,74.392944,26.401154,26.401154,27.400539,27.147405
11/19/2021 17:45,1.044,3.67,-0.39,,46.5,29.76,39.76,-4.375585,81.947503,74.15296,70.208021,73.21275,26.138158,26.52279,27.157268,27.068507
11/19/2021 18:00,0.892,3.38,-0.6,,46.6,30.27,40.04,-4.375585,81.454386,72.548685,68.810855,72.055568,26.236782,26.203907,27.219729,26.927146
11/19/2021 18:15,0.792,3.19,-0.74,,46.6,30.72,40.5,-4.539958,79.958596,71.197543,68.436086,71.536151,26.141446,26.39458,27.058644,26.927146
11/19/2021 18:30,0.667,2.94,-0.9,,46.6,31.32,40.66,-4.70433,80.287341,71.020021,67.752296,70.083098,26.171033,26.141446,26.946871,26.835098
11/19/2021 18:45,0.6,2.81,-0.99,,46.6,31.46,41.02,-4.375585,78.722515,70.523616,67.292053,70.145559,25.881737,26.302531,27.048782,26.927146
11/19/2021 19:00,0.527,2.66,-1.08,,46.6,32.13,41,-4.539958,78.019001,70.208021,67.002758,69.918725,25.763389,26.427454,26.854822,26.808798
11/19/2021 19:15,0.423,2.42,-1.18,,46.6,32.3,41.07,-4.539958,78.061738,69.856264,66.851535,69.829964,25.967211,26.476766,27.107956,26.904134
11/19/2021 19:30,0.38,2.34,-1.24,,46.5,32.56,41.26,-4.539958,80.234742,69.606418,66.190758,69.399308,25.894887,26.374855,26.983033,26.933721
11/19/2021 19:45,0.336,2.21,-1.25,,46.6,32.87,41.31,-4.70433,78.495681,69.054126,66.545802,68.902904,25.792976,26.391292,26.992895,26.946871
11/19/2021 20:00,0.289,2.15,-1.35,,46.6,33.18,41.6,-4.70433,78.23926,68.906191,66.069122,68.567584,25.648328,26.361705,26.983033,26.99947
11/19/2021 20:15,0.27,2.1,-1.36,,46.6,33.25,41.48,-4.375585,78.429932,68.748393,66.04611,68.307875,25.451082,26.348555,26.867972,26.841673
11/19/2021 20:30,0.202,1.94,-1.42,,46.6,33.47,41.62,-4.539958,79.449041,71.792572,68.952215,71.292879,25.54313,26.447179,27.144118,26.946871
11/19/2021 20:45,0.142,1.82,-1.5,,46.5,33.47,41.74,-4.211213,80.754159,72.098304,67.844345,70.960847,25.842288,26.499778,27.117818,27.328215
11/19/2021 21:00,0.143,1.76,-1.43,,46.6,33.92,41.57,-4.211213,81.891616,72.042418,68.699082,70.303357,25.901462,26.6773,27.555049,27.407114
11/19/2021 21:15,0.1,1.68,-1.49,,46.5,34.19,41.69,-4.375585,82.210499,71.973381,68.863454,70.941122,26.118434,26.631276,27.472863,27.47615
11/19/2021 21:30,0.078,1.61,-1.49,,46.5,34.19,41.72,-4.539958,81.855455,72.167341,69.248086,71.144944,25.973786,26.651001,27.495875,27.377527
11/19/2021 21:45,0.057,1.56,-1.51,,46.6,34.57,42.17,-4.539958,81.842305,72.236377,68.939065,71.207406,25.898175,26.647713,27.561624,27.311778
11/19/2021 22:00,0.015,1.49,-1.58,,46.6,34.83,42.15,-4.375585,82.384734,72.430337,69.129738,71.148232,26.078984,26.683875,27.265754,27.344652
11/19/2021 22:15,0.023,1.48,-1.54,,46.6,34.88,42,-4.04684,81.230839,72.298839,69.136312,71.43424,25.832426,26.683875,27.34794,27.255891
11/19/2021 22:30,-0.006,1.42,-1.58,,46.6,35.14,42.19,-4.375585,81.224264,72.394175,69.366434,71.5756,26.013235,26.7036,27.219729,27.548474
11/19/2021 22:45,-0.04,1.35,-1.62,,46.6,35.31,42.41,-4.539958,82.999487,72.663746,69.369721,71.523001,26.085559,26.588539,27.370952,27.384102
11/19/2021 23:00,-0.032,1.34,-1.58,,46.6,35.29,42.22,-4.539958,83.380831,72.390887,69.343422,71.493414,25.717365,26.621414,27.607648,27.318353
11/19/2021 23:15,-0.053,1.29,-1.6,,46.6,35.6,42.39,-4.539958,81.812718,72.647308,69.333559,71.506564,25.914612,26.674013,27.196717,27.209867
11/19/2021 23:30,-0.095,1.22,-1.67,,46.5,35.67,42.46,-4.539958,82.108588,72.70977,68.906191,71.335616,26.065835,26.532652,27.104669,27.265754
11/19/2021 23:45,-0.095,1.21,-1.66,,46.6,35.74,42.48,-4.375585,82.230224,72.831406,69.211924,71.424377,26.016523,26.253219,27.328215,27.209867
11/20/2021 0:00,-0.109,1.15,-1.64,,46.5,35.86,42.43,-4.211213,82.088863,72.884005,69.287535,71.444102,25.802839,26.50964,27.246029,27.397252
11/20/2021 0:15,-0.131,1.18,-1.75,,46.9,36,43.06,-4.375585,82.710191,72.772232,69.188912,71.279729,25.894887,26.328831,27.315065,27.338078
11/20/2021 0:30,-0.117,1.15,-1.67,,46.5,35.91,42.62,-4.375585,81.303163,72.584847,69.073851,71.26658,25.707503,26.641138,27.298628,27.33479
11/20/2021 0:45,-0.144,1.1,-1.71,,46.5,36.15,42.74,-4.211213,81.760118,72.325138,69.133025,71.207406,25.871875,26.545802,27.163843,27.272329
11/20/2021 1:00,-0.142,1.09,-1.69,,46.7,36.39,42.94,-4.375585,81.924491,72.486223,68.603746,71.108782,25.622029,26.407729,27.203292,27.384102
11/20/2021 1:15,-0.169,1.05,-1.74,,46.7,36.48,43.1,-4.375585,82.496507,72.108167,68.722094,70.730725,25.769964,26.460329,27.30849,27.449851
11/20/2021 1:30,-0.179,0.98,-1.7,,46.5,36.7,42.84,-4.375585,81.839017,72.275827,68.935778,71.115357,25.645041,26.401154,27.18028,27.265754
11/20/2021 1:45,-0.185,1,-1.74,,46.5,36.58,43.06,-4.375585,81.464248,72.614434,68.81743,71.292879,25.661478,26.427454,27.058644,27.439988
11/20/2021 2:00,-0.177,0.98,-1.69,,46.9,36.84,43.29,-4.539958,81.792993,72.476361,68.689219,71.187681,25.73709,26.473478,27.098094,27.272329
11/20/2021 2:15,-0.212,0.95,-1.78,,46.6,36.6,43.08,-4.375585,81.802855,72.522385,68.682644,70.875373,25.85215,26.302531,27.400539,27.377527
11/20/2021 2:30,-0.212,0.95,-1.78,,46.9,36.7,42.86,-4.375585,81.372199,72.446774,68.922628,71.361916,25.566142,26.361705,27.397252,27.203292
11/20/2021 2:45,-0.228,0.88,-1.76,,46.9,36.94,43.22,-4.868703,82.348572,72.54211,68.712231,71.092345,25.973786,26.667438,27.209867,27.384102
11/20/2021 3:00,-0.249,0.84,-1.79,,46.9,37.01,43.49,-4.539958,81.917916,72.305414,68.95879,71.089057,25.668053,26.39458,27.311778,27.144118
11/20/2021 3:15,-0.243,0.88,-1.81,,46.9,37.08,43.51,-4.70433,81.79628,72.56841,68.62347,71.089057,25.783114,26.457041,27.535325,27.331503
11/20/2021 3:30,-0.262,0.81,-1.8,,46.9,37.32,43.37,-4.375585,82.318985,72.456636,68.62347,71.233705,25.914612,26.38143,27.397252,27.196717
11/20/2021 3:45,-0.249,0.87,-1.82,,46.7,37.13,43.72,-4.539958,82.263098,72.229802,68.66292,71.167956,26.00666,26.585252,27.413689,27.351227
11/20/2021 4:00,-0.235,0.84,-1.74,,46.7,37.22,43.34,-4.211213,82.249948,72.21994,68.692507,70.91811,25.694353,26.499778,27.30849,27.252604
11/20/2021 4:15,-0.218,0.93,-1.78,,46.9,37.17,43.44,-4.539958,82.180912,72.433624,68.758256,71.210693,25.625316,26.568814,27.387389,27.282191
11/20/2021 4:30,-0.258,0.84,-1.82,,46.7,37.51,43.65,-4.539958,82.236799,72.446774,68.62347,71.210693,25.950774,26.361705,27.232879,27.176993
11/20/2021 4:45,-0.24,0.86,-1.78,,46.7,37.32,43.65,-4.70433,81.549722,72.699908,68.692507,71.194256,25.562855,26.565527,27.466288,27.407114
11/20/2021 5:00,-0.267,0.81,-1.82,,46.7,37.58,43.68,-5.197448,82.457058,72.762369,68.551146,71.141657,25.832426,26.578677,27.370952,27.292053
