"","X","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime"
"21133",21133,26,4,27,10,30,14,50.496996996997,NA,NA,NA,54.480980980981,NA,NA,NA,0.163668309571745,0.199636435512165,2.22065292837671,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.03,"R1132",NA,2026-04-27 10:30:00
"21134",21134,26,4,27,11,0,14,49.7002002002002,NA,NA,NA,70.9149149149149,NA,NA,NA,0.14492986599558,0.189895363833887,1.93957627473423,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,"R1132",NA,2026-04-27 11:00:00
"21135",21135,26,4,27,11,30,14,52.5885885885886,NA,NA,NA,59.460960960961,NA,NA,NA,0.141721044268516,0.181946157928257,1.89144394882827,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.03,"R1132",NA,2026-04-27 11:30:00
"21136",21136,26,4,27,12,0,14,52.2897897897898,NA,NA,NA,54.480980980981,NA,NA,NA,0.129085226531563,0.151905423943164,1.70190668277397,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,"R1132",NA,2026-04-27 12:00:00
"21137",21137,26,4,27,12,30,14,55.0785785785786,NA,NA,NA,56.2737737737738,NA,NA,NA,0.152981580188646,0.182543781261789,2.06035198763023,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,"R1132",NA,2026-04-27 12:30:00
"21138",21138,26,4,27,13,0,14,52.986986986987,NA,NA,NA,61.2537537537538,NA,NA,NA,0.204467736857782,0.237457265604642,2.83264433766725,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.03,"R1132",NA,2026-04-27 13:00:00
"21139",21139,26,4,27,13,30,14,53.0865865865866,NA,NA,NA,51.7917917917918,NA,NA,NA,0.231391520400743,0.263374075560252,3.23650109081167,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,"R1132",NA,2026-04-27 13:30:00
"21140",21140,26,4,27,14,0,14,54.978978978979,NA,NA,NA,59.958958958959,NA,NA,NA,0.216459427312555,0.264017371389662,3.01251969448886,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,"R1132",NA,2026-04-27 14:00:00
"21141",21141,26,4,27,14,30,14,53.982982982983,NA,NA,NA,61.2537537537538,NA,NA,NA,0.205775625409881,0.225325417032504,2.85226266594874,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.03,"R1132",NA,2026-04-27 14:30:00
"21142",21142,26,4,27,15,0,14,52.488988988989,NA,NA,NA,75.6956956956957,NA,NA,NA,0.105013738480747,0.150449103761076,1.34083436201174,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.07,"R1132",NA,2026-04-27 15:00:00
