"","X","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime","SF_avg","SF_norm"
"1",1,26,3,27,11,4,1,105.202202202202,87.2747747747748,88.9424424424424,87.2747747747748,102.581581581582,87.2152152152152,90.9674674674675,101.688188188188,0.296829005226741,0.24970549837478,3.87767669935905,0.849611043596767,0.736864765589147,11.0469319875391,0.89216159824819,0.843489908765912,10.1994026276408,0.834454652172628,0.879163583920845,7.95457282202062,0,"R1171_L",NA,2026-03-27 11:04:00,8.2696460341399,0.827381994782726
"2",2,26,3,27,11,30,14,97.7072072072072,42.4294294294294,36.4534534534535,31.4734734734735,69.4209209209209,32.6686686686687,40.2382382382382,44.9194194194194,0.328092533043193,0.357803115107675,4.34662961660584,0.893121104606549,0.779690675545069,11.6995829026858,0.905378671344901,0.841730817186602,10.3976587240914,0.847872174608648,1.00760678318422,8.15583565856092,0,"R1171_L",NA,2026-03-27 11:30:00,8.649926725486,0.865429257710832
"3",3,26,3,27,12,0,14,94.9184184184184,40.4374374374374,38.4454454454454,33.6646646646647,73.9029029029029,31.1746746746747,38.2462462462462,43.027027027027,0.355466146804457,0.395749335256879,4.7572338230248,0.945867417936744,0.820898581497218,12.4907776026388,0.944894272890946,0.877532095289504,10.9903927472821,0.900950962161021,1.04406918914829,8.95201747184652,0,"R1171_L",NA,2026-03-27 12:00:00,9.29760541119806,0.930229816374457
"4",4,26,3,27,12,30,14,98.4044044044044,41.2342342342342,38.9434434434434,28.9834834834835,80.8748748748749,48.7042042042042,47.509009009009,71.4129129129129,0.355754032413605,0.291090354570302,4.76155210716202,1.01237102382825,0.748374292930502,13.4883316910114,0.982722576366588,0.732508254440518,11.5578172994167,0.982291131170227,0.844945544713733,10.1721200069846,0,"R1171_L",NA,2026-03-27 12:30:00,9.99495527614369,1
"5",5,26,3,27,13,0,14,98.4044044044044,40.9354354354354,37.9474474474475,30.9754754754755,66.9309309309309,28.3858858858859,30.0790790790791,44.6206206206206,0.364108660274622,0.397746107615833,4.88687152507727,0.990488143414996,0.76605018811433,13.1600884848125,0.965369023743082,0.850214611515757,11.2975140100641,0.939852367085033,1.08113336199803,9.53553854570672,0,"R1171_L",NA,2026-03-27 13:00:00,9.72000314141516,0.972490908950358
"6",6,26,3,27,13,30,14,97.9064064064064,37.4494494494495,37.4494494494495,28.9834834834835,77.7872872872873,32.6686686686687,37.2502502502503,45.4174174174174,0.358174749039794,0.255497048907239,4.79786285655485,0.953415951838846,0.683832209360395,12.6040056111703,0.964415924899994,0.756724838324867,11.2832175274178,0.931516198922316,0.852063204363709,9.41049602326592,0,"R1171_L",NA,2026-03-27 13:30:00,9.52389550460223,0.952870247187018
"7",7,26,3,27,14,0,14,96.9104104104104,38.9434434434434,35.4574574574575,28.4854854854855,67.2297297297297,30.6766766766767,33.4654654654655,45.1186186186186,0.328765960026631,0.337561071438939,4.35673102135741,0.916228593074068,0.762228042456005,12.0461952296986,0.917312124993106,0.853215927712423,10.5766605288145,0.865325786397127,1.07035810960632,8.41763983538812,0,"R1171_L",NA,2026-03-27 14:00:00,8.84930665381466,0.885377313787136
"8",8,26,3,27,14,30,14,96.9104104104104,39.9394394394394,35.4574574574575,29.9794794794795,72.4089089089089,30.4774774774775,35.4574574574575,41.7322322322322,0.266527452917763,0.31127214283211,3.42315341472439,0.842838201983117,0.719507456605945,10.9453393633343,0.87295003727868,0.83747293636816,9.91122921309809,0.857469663698804,1.04621323152138,8.29979799491332,0,"R1171_L",NA,2026-03-27 14:30:00,8.14487999651753,0.814899093741622
"9",9,26,3,27,15,0,14,96.9104104104104,39.4414414414414,36.4534534534535,29.9794794794795,75.7952952952953,33.9634634634635,35.9554554554555,48.1066066066066,0.252259322032588,0.30128514677008,3.20913145144675,0.771490750692647,0.652773565188859,9.87512759397734,0.80233146444581,0.773383825747419,8.85195062060499,0.806281614705271,1.00814182642726,7.53197726001032,0,"R1171_L",NA,2026-03-27 15:00:00,7.36704673150985,0.737076507895315
"10",10,26,3,27,15,30,14,98.2052052052052,38.9434434434434,36.4534534534535,28.9834834834835,77.9864864864865,38.4454454454454,35.4574574574575,48.2062062062062,0.155635256256462,0.196943693710293,1.75977046480486,0.585722454979618,0.506983569946989,7.0886031582819,0.65638337210123,0.676668125944649,6.66272923543634,0.705821233169424,0.897300362020162,6.02507153697262,0,"R1171_L",NA,2026-03-27 15:30:00,5.38404359887393,0.538676107108228
