"","X","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime","SF_avg","SF_norm"
"1",1,26,3,27,11,4,2,46.2382382382382,88.7042042042042,88.7042042042042,88.2872872872873,46.2382382382382,46.2382382382382,84.7137137137137,88.9424424424424,0.386472857018636,0.169599949010902,2.48595184433366,1.31010822677668,1.31987262161913,16.6626716939119,1.08609279535579,0.972278870565914,12.6165770760203,1.11146875115973,0.932239427624824,11.1335766706138,0,"R1171_M",NA,2026-03-27 11:04:00,14.6396243849661,0.825490867457004
"2",2,26,3,27,11,30,14,99.002002002002,37.9474474474475,37.4494494494495,36.9514514514515,63.9429429429429,19.4219219219219,22.4099099099099,30.9754754754755,0.363295609905713,0.390465158718406,2.13829313763981,1.05193616412056,1.02412010749996,12.7900907540701,1.21625988982136,1.1084899369393,14.5690834930038,1.10698170198605,0.96822183187023,11.0662709330085,0,"R1171_M",NA,2026-03-27 11:30:00,13.6795871235369,0.771356828844508
"3",3,26,3,27,12,0,14,87.4484484484484,34.4614614614615,36.9514514514515,37.9474474474475,98.9024024024024,16.9319319319319,23.4059059059059,18.9239239239239,0.411248964162256,0.192271887647115,2.85759345148795,1.50293424537527,1.34679076697905,19.5550619728908,1.08553553530154,1.06040495712138,12.6082181752065,1.2075897942039,1.41943830606423,12.5753923162763,0,"R1171_M",NA,2026-03-27 12:00:00,16.0816400740486,0.906802433298119
"4",4,26,3,27,12,30,14,97.9064064064064,34.4614614614615,34.9594594594595,38.7442442442442,40.4374374374374,19.9199199199199,18.4259259259259,33.9634634634635,0.407480451339131,0.446535960549599,2.80106575914107,1.07808591413993,1.11106514157028,13.1823370043606,1.39162755792793,1.45619286266856,17.1995985146024,1.12793718378189,1.04610473340305,11.3806031599462,0,"R1171_M",NA,2026-03-27 12:30:00,15.1909677594815,0.856579706113464
"5",5,26,3,27,13,0,14,97.4084084084084,34.4614614614615,34.9594594594595,38.9434434434434,72.4089089089089,16.9319319319319,16.4339339339339,41.2342342342342,0.469658052668361,0.410446970237356,3.73372977907952,1.4682043495973,1.34720480738482,19.0341135362212,1.31014303144901,1.45298032317698,15.9773306174185,1.09953917518116,1.02311206342877,10.9546330309352,0,"R1171_M",NA,2026-03-27 13:00:00,17.5057220768198,0.987102764569237
"6",6,26,3,27,13,30,14,91.9304304304304,34.4614614614615,36.1546546546547,36.9514514514515,42.4294294294294,14.9399399399399,29.4814814814815,25.9954954954955,0.414183181465677,0.444346895652368,2.90160671103926,1.41937953792998,1.41661849236811,18.3017413612115,1.12593677543411,1.09900390801911,13.2142367771951,1.57069375621265,1.3555791708462,18.0219517464076,0,"R1171_M",NA,2026-03-27 13:30:00,15.7579890692033,0.888552583321266
"7",7,26,3,27,14,0,14,80.4764764764765,36.4534534534535,35.9554554554555,37.4494494494495,39.4414414414414,17.9279279279279,28.4854854854855,23.9039039039039,0.358692736389704,0.373240513910626,2.06925003489966,1.04811782072014,1.05824716848273,12.7328156030638,1.16215203549103,1.03819225901651,13.7574656780488,1.18402095763895,1.09144087825766,12.2218597678021,0,"R1171_M",NA,2026-03-27 14:00:00,13.2451406405563,0.746859506053383
"8",8,26,3,27,14,30,14,96.9104104104104,37.9474474474475,38.4454454454454,38.9434434434434,60.456956956957,18.4259259259259,22.4099099099099,18.4259259259259,0.387812443235298,0.423421152258779,2.50604563758357,1.02096212125012,0.998587307933423,12.3254801110136,1.1060889742513,1.03581827673515,12.9165197594528,1.1644510517277,1.39431579450448,11.9283111791333,0,"R1171_M",NA,2026-03-27 14:30:00,12.6209999352332,0.711665812642677
"9",9,26,3,27,15,0,14,84.4604604604605,38.9434434434434,40.9354354354354,40.4374374374374,98.7032032032032,25.4974974974975,23.4059059059059,32.9674674674675,0.393520651345457,0.136506215847566,2.59166875923597,1.23574218257374,0.978326122793604,15.5471810308678,1.12739647445502,1.00389452594272,13.2361322625087,1.14494397541995,0.961673737721975,11.635705034517,0,"R1171_M",NA,2026-03-27 15:00:00,14.3916566466882,0.811508602749274
"10",10,26,3,27,15,30,14,97.9064064064064,41.9314314314314,40.4374374374374,39.9394394394394,78.9824824824825,20.4179179179179,37.7482482482483,24.8998998998999,0.245718140086227,0.16931397263059,0.374631090347505,1.04198211505769,0.900522621624509,12.6407800181271,1.00431469594104,0.743435340339282,11.389905584799,0.824342035906591,0.882697014586003,6.82667594181669,0,"R1171_M",NA,2026-03-27 15:30:00,12.015342801463,0.67751436042025
"11",11,26,3,27,16,0,14,93.9224224224224,40.4374374374374,42.4294294294294,39.4414414414414,63.444944944945,22.9079079079079,29.9794794794795,29.4814814814815,0.289248346072232,0.311754191357484,1.02758418013758,1.07806108857829,0.857531036667227,13.1819646209361,1.09717474796491,0.896904018073975,12.782806365157,0.8494322269682,0.846154349685125,7.2030288077408,0,"R1171_M",NA,2026-03-27 16:00:00,12.9823854930465,0.732043417269756
"12",12,26,3,27,16,30,14,99.002002002002,45.4174174174174,40.9354354354354,38.4454454454454,80.4764764764765,28.9834834834835,44.4214214214214,27.4894894894895,0.276961272154772,0.187080637757212,0.843278071375675,0.801366619298511,0.611233354065533,9.0315475817394,0.74114133346687,0.562088917703528,7.44230514768649,0.759529171916209,0.810337447971347,5.85448298196089,0,"R1171_M",NA,2026-03-27 16:30:00,8.23692636471294,0.464459149441634
"13",13,26,3,27,17,0,14,97.4084084084084,45.9154154154154,46.7122122122122,43.9234234234234,57.966966966967,25.4974974974975,39.9394394394394,36.9514514514515,0.235924678047932,0.294112962782083,0.227729159773085,0.786898721853193,0.634918675660155,8.8145291200596,0.64037419837082,0.487147496411409,5.93079812124568,0.56269925200135,0.50624371426088,2.90203418323804,0,"R1171_M",NA,2026-03-27 17:00:00,7.37266362065264,0.415725590195553
"14",14,26,3,27,17,30,14,99.002002002002,44.9194194194194,39.9394394394394,39.9394394394394,36.9514514514515,23.4059059059059,28.4854854854855,33.9634634634635,0.374110803741841,0.435095824340605,2.30052104518172,0.632783382973719,0.633100348779947,6.50279903686748,0.591427153862847,0.655466946925244,5.19659245362609,0.45904794302226,0.492634497304566,1.34726454855171,0,"R1171_M",NA,2026-03-27 17:30:00,5.84969574524679,0.329849338215415
"15",15,26,3,27,18,0,14,95.9144144144144,44.4214214214214,39.4414414414414,38.4454454454454,62.946946946947,44.4214214214214,39.9394394394394,27.4894894894895,0.0686302178316992,0.100297721315361,-2.28168774347041,0.472481694849323,0.310788061166253,4.09827371500154,0.478136801133312,0.364527366148691,3.49723716268307,0.486169561813029,0.643061095079886,1.75408883041323,0,"R1171_M",NA,2026-03-27 18:00:00,3.7977554388423,0.214145687700767
"16",16,26,3,27,18,30,14,98.9024024024024,44.4214214214214,39.4414414414414,40.4374374374374,70.9149149149149,43.4254254254254,37.9474474474475,28.9834834834835,0.0923737073316337,0.0968343380021445,-1.92553540097138,0.427958781575314,0.280905809648997,3.43043001589142,0.388411429372353,0.331562929030224,2.15135658626868,0.369270820096237,0.523847364795159,0.000607704661355513,0,"R1171_M",NA,2026-03-27 18:30:00,2.79089330108005,0.157371314420773
"17",17,26,3,27,19,0,14,97.4084084084084,41.9314314314314,41.4334334334334,36.4534534534535,58.962962962963,27.4894894894895,26.9914914914915,34.9594594594595,0.0822033190557778,0.126647483437312,-2.07809122510923,0.163958854017629,0.272818192962555,-0.529568897473869,0.440737339608419,0.597412803653892,2.93624523980968,0.231088096160086,0.328456648404955,-2.07213315438091,0,"R1171_M",NA,2026-03-27 19:00:00,1.2033381711679,0.0678531528296324
"18",18,26,3,27,19,30,14,96.4124124124124,38.9434434434434,39.9394394394394,38.4454454454454,56.970970970971,27.9874874874875,30.4774774774775,54.480980980981,0.0776021443979823,0.133552578840769,-2.14710884497616,0.227893688107052,0.332406439114966,0.429453613867481,0.333454989640302,0.476037018850543,1.32700999028792,0.382765018424322,0.283745059492445,0.203020679582625,0,"R1171_M",NA,2026-03-27 19:30:00,0.878231802077699,0.0495212385961176
"19",19,26,3,27,20,0,14,98.4044044044044,44.9194194194194,38.4454454454454,37.4494494494495,62.448948948949,31.4734734734735,32.4694694694695,40.4374374374374,0.121318360353893,0.173525926249342,-1.49136560563749,0.238409747765841,0.26066791121931,0.587194508749311,0.184580610761808,0.291337001216418,-0.906105692889494,0.298202249076623,0.304832145420497,-1.06542086063287,0,"R1171_M",NA,2026-03-27 20:00:00,-0.159455592070092,-0.00899129182262247
"20",20,26,3,27,20,30,14,97.9064064064064,43.9234234234234,40.4374374374374,42.9274274274274,64.9389389389389,32.4694694694695,35.4574574574575,55.974974974975,0.169889770629403,0.195232204831205,-0.762794451504855,0.26704364098889,0.256217642094474,1.01670290709505,0.250396819031465,0.294583875793652,0.0811374311553656,0.421014897520862,0.316978441940217,0.776768866030725,0,"R1171_M",NA,2026-03-27 20:30:00,0.548920169125209,0.0309522003201903
"21",21,26,3,27,21,0,14,96.9104104104104,41.4334334334334,41.4334334334334,42.9274274274274,55.974974974975,47.4094094094094,28.4854854854855,42.4294294294294,0.133579157503753,0.194995997690687,-1.3074536483896,0.389796980849907,0.245078091476487,2.85800300501031,0.349515328900105,0.482339847599685,1.56791507918497,0.291015596644957,0.303363557480662,-1.17322064710786,0,"R1171_M",NA,2026-03-27 21:00:00,2.21295904209764,0.124783083996607
"22",22,26,3,27,21,30,14,95.4164164164164,45.7162162162162,43.2262262262262,37.9474474474475,63.9429429429429,37.9474474474475,31.9714714714715,52.986986986987,0.157791316172657,0.185293327183104,-0.944271268356045,0.315035143706231,0.248002070167925,1.73657544785516,0.220972106513336,0.356421747330219,-0.360233256616564,0.435414536019929,0.298471118442607,0.992763443516735,0,"R1171_M",NA,2026-03-27 21:30:00,0.688171095619299,0.0388042028772945
"23",23,26,3,27,22,0,14,99.002002002002,45.4174174174174,42.9274274274274,40.4374374374374,73.9029029029029,36.9514514514515,41.4334334334334,42.4294294294294,0.22327470857893,0.214065005640689,0.0379796177380549,0.261032170347898,0.254059992135791,0.926530847480171,0.278866659720523,0.285688561304439,0.508185041491235,0.309551372111753,0.303374624291411,-0.895184015105905,0,"R1171_M",NA,2026-03-27 22:00:00,0.717357944485703,0.0404499744186605
"24",24,26,3,27,22,30,14,97.4084084084084,43.9234234234234,43.4254254254254,40.9354354354354,98.9024024024024,35.9554554554555,29.9794794794795,42.9274274274274,0.232023391083605,0.0856438995140669,0.169209855308185,0.226481626985989,0.245477319640686,0.408272697051541,0.31731036135195,0.436814825669293,1.08484056596264,0.31611658590266,0.309758024150985,-0.796705808242304,0,"R1171_M",NA,2026-03-27 22:30:00,0.746556631507088,0.0420964134832202
"25",25,26,3,27,23,0,14,94.9184184184184,43.9234234234234,45.7162162162162,40.9354354354354,96.4124124124124,47.4094094094094,36.4534534534535,32.4694694694695,0.110357404177501,-0.0399969706473298,-1.65577994828339,0.414021417496061,0.248407422229568,3.22136955470261,0.223265108407879,0.301489372680436,-0.325838228198434,0.184852895969867,0.321751510843064,-2.76566115723419,0,"R1171_M",NA,2026-03-27 23:00:00,1.44776566325209,0.0816357921354688
