"","X","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime","SF_avg","SF_norm"
"1",1,26,3,27,11,4,2,46.2382382382382,88.7042042042042,88.7042042042042,88.2872872872873,46.2382382382382,46.2382382382382,84.7137137137137,88.9424424424424,0.386472857018636,0.169599949010902,2.50920364236803,1.31010822677668,1.31987262161913,16.7851249708788,1.08609279535579,0.972278870565914,12.7250826747571,1.11146875115973,0.932239427624824,11.4046871077735,0,"R1171_M",NA,2026-03-27 11:04:00,14.7551038228179,0.826619847798832
"2",2,26,3,27,11,30,14,99.002002002002,37.9474474474475,37.4494494494495,36.9514514514515,63.9429429429429,19.4219219219219,22.4099099099099,30.9754754754755,0.363295609905713,0.390465158718406,2.16154493567418,1.05193616412056,1.02412010749996,12.912544031037,1.21625988982136,1.1084899369393,14.6775890917406,1.10698170198605,0.96822183187023,11.3373813701682,0,"R1171_M",NA,2026-03-27 11:30:00,13.7950665613888,0.772836027335534
"3",3,26,3,27,12,0,14,87.4484484484484,34.4614614614615,36.9514514514515,37.9474474474475,98.9024024024024,16.9319319319319,23.4059059059059,18.9239239239239,0.411248964162256,0.192271887647115,2.88084524952232,1.50293424537527,1.34679076697905,19.6775152498577,1.08553553530154,1.06040495712138,12.7167237739433,1.2075897942039,1.41943830606423,12.846502753436,0,"R1171_M",NA,2026-03-27 12:00:00,16.1971195119005,0.907405371489258
"4",4,26,3,27,12,30,14,97.9064064064064,34.4614614614615,34.9594594594595,38.7442442442442,40.4374374374374,19.9199199199199,18.4259259259259,33.9634634634635,0.407480451339131,0.446535960549599,2.82431755717545,1.07808591413993,1.11106514157028,13.3047902813275,1.39162755792793,1.45619286266856,17.3081041133392,1.12793718378189,1.04610473340305,11.6517135971059,0,"R1171_M",NA,2026-03-27 12:30:00,15.3064471973333,0.857507558370006
"5",5,26,3,27,13,0,14,97.4084084084084,34.4614614614615,34.9594594594595,38.9434434434434,72.4089089089089,16.9319319319319,16.4339339339339,41.2342342342342,0.469658052668361,0.410446970237356,3.7569815771139,1.4682043495973,1.34720480738482,19.1565668131881,1.31014303144901,1.45298032317698,16.0858362161553,1.09953917518116,1.02311206342877,11.2257434680949,0,"R1171_M",NA,2026-03-27 13:00:00,17.6212015146717,0.987186202754122
"6",6,26,3,27,13,30,14,91.9304304304304,34.4614614614615,36.1546546546547,36.9514514514515,42.4294294294294,14.9399399399399,29.4814814814815,25.9954954954955,0.414183181465677,0.444346895652368,2.92485850907364,1.41937953792998,1.41661849236811,18.4241946381784,1.12593677543411,1.09900390801911,13.3227423759319,1.57069375621265,1.3555791708462,18.2930621835673,0,"R1171_M",NA,2026-03-27 13:30:00,15.8734685070551,0.889273588237996
"7",7,26,3,27,14,0,14,80.4764764764765,36.4534534534535,35.9554554554555,37.4494494494495,39.4414414414414,17.9279279279279,28.4854854854855,23.9039039039039,0.358692736389704,0.373240513910626,2.09250183293404,1.04811782072014,1.05824716848273,12.8552688800307,1.16215203549103,1.03819225901651,13.8659712767856,1.18402095763895,1.09144087825766,12.4929702049618,0,"R1171_M",NA,2026-03-27 14:00:00,13.3606200784081,0.748497189062987
"8",8,26,3,27,14,30,14,96.9104104104104,37.9474474474475,38.4454454454454,38.9434434434434,60.456956956957,18.4259259259259,22.4099099099099,18.4259259259259,0.387812443235298,0.423421152258779,2.52929743561795,1.02096212125012,0.998587307933423,12.4479333879805,1.1060889742513,1.03581827673515,13.0250253581896,1.1644510517277,1.39431579450448,12.199421616293,0,"R1171_M",NA,2026-03-27 14:30:00,12.736479373085,0.713531179942713
"9",9,26,3,27,15,0,14,84.4604604604605,38.9434434434434,40.9354354354354,40.4374374374374,98.7032032032032,25.4974974974975,23.4059059059059,32.9674674674675,0.393520651345457,0.136506215847566,2.61492055727034,1.23574218257374,0.978326122793604,15.6696343078347,1.12739647445502,1.00389452594272,13.3446378612455,1.14494397541995,0.961673737721975,11.9068154716767,0,"R1171_M",NA,2026-03-27 15:00:00,14.5071360845401,0.812728040832536
"10",10,26,3,27,15,30,14,97.9064064064064,41.9314314314314,40.4374374374374,39.9394394394394,78.9824824824825,20.4179179179179,37.7482482482483,24.8998998998999,0.245718140086227,0.16931397263059,0.397882888381878,1.04198211505769,0.900522621624509,12.763233295094,1.00431469594104,0.743435340339282,11.4984111835358,0.824342035906591,0.882697014586003,7.09778637897641,0,"R1171_M",NA,2026-03-27 15:30:00,12.1308222393149,0.679600669270119
