"","X","Year","Month","Day","Hour","Minute","Second","tmd5","tmd15","tmd25","tmd35","tmu5","tmu15","tmu25","tmu35","alpha5","beta5","VhrmHRM5","alpha15","beta15","VhrmHRM15","alpha25","beta25","VhrmHRM25","alpha35","beta35","VhrmHRM35","Voltage","EMU","TreeID","Datetime"
"13915",29100,26,6,29,10,36,21,48.4419419419419,47.2507507507508,NA,NA,58.7457457457457,48.7397397397397,NA,NA,0.66091501128044,0.769979612603224,5.21214049349576,0.886451626487883,1.0227988837495,7.65201740683214,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 10:36:00
"13916",25710,26,6,29,11,0,14,41.2342342342342,28.4854854854855,9.71621621621622,NA,56.472972972973,37.4494494494495,NA,NA,0.684317787318278,0.779890341817826,5.56318213406337,0.925685778725996,1.04844355339884,8.24052969040384,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 11:00:00
"13917",48510,26,6,29,11,30,14,39.9394394394394,27.4894894894895,NA,NA,56.6721721721722,37.4494494494495,NA,NA,0.724568163008736,0.825965514456548,6.16693776942017,0.980740290226221,1.08954405892172,9.06634736290724,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 11:30:00
"13918",71310,26,6,29,12,0,14,40.9354354354354,25.9954954954955,NA,NA,59.460960960961,35.4574574574575,NA,NA,0.770723490637812,0.872749738161339,6.85926768385637,1.05069381299374,1.15378449662395,10.1156502044199,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 12:00:00
"13919",94110,26,6,29,12,30,14,40.4374374374374,26.9914914914915,NA,NA,55.476976976977,33.9634634634635,NA,NA,0.839072541555904,0.944913011273792,7.88450344762777,1.13612208211305,1.22105864709965,11.3970742412097,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 12:30:00
"13920",116910,26,6,29,13,0,14,40.4374374374374,27.4894894894895,NA,NA,45.9154154154154,33.9634634634635,NA,NA,0.883418193148424,1.01325756245126,8.54968822151557,1.2051294966546,1.2946232932002,12.4321854593329,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 13:00:00
"13921",13971,26,6,29,13,30,14,40.4374374374374,26.4934934934935,90.7792792792793,NA,53.982982982983,34.6606606606607,NA,NA,0.855031741439356,0.97873471569161,8.12389144587947,1.18583365527493,1.27611071625381,12.1427478386378,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 13:30:00
"13922",16251,26,6,29,14,0,14,35.9554554554555,26.9914914914915,NA,NA,52.986986986987,36.1546546546547,NA,NA,0.843600369894786,0.952903051197805,7.95242087271097,1.07886257732229,1.1849532119743,10.5381816693483,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 14:00:00
"13923",18531,26,6,29,14,30,14,38.9434434434434,26.4934934934935,NA,NA,54.480980980981,34.9594594594595,NA,NA,0.744157180352868,0.841744192493441,6.46077302958217,1.0047578355438,1.11683710442618,9.42661054267104,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 14:30:00
"13924",20811,26,6,29,15,0,14,37.4494494494495,25.9954954954955,NA,NA,60.456956956957,40.7362362362362,NA,NA,0.626675103844889,0.718497282548853,4.69854188196251,0.869237921981622,1.01130386726816,7.39381183923824,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 15:00:00
"13925",23091,26,6,29,15,30,14,39.4414414414414,27.4894894894895,NA,NA,64.4409409409409,36.4534534534535,NA,NA,0.600113325886203,0.694260500754455,4.30011521258221,0.836136929438405,0.996296852397091,6.89729695109004,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 15:30:00
"13926",25371,26,6,29,16,0,14,40.9354354354354,25.4974974974975,NA,NA,63.9429429429429,36.9514514514515,NA,NA,0.573579182992337,0.677348303487325,3.90210306917422,0.779782175639013,0.95837618562101,6.05197564409914,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 16:00:00
"13927",27651,26,6,29,16,30,14,41.9314314314314,25.9954954954955,NA,NA,59.460960960961,37.9474474474475,NA,NA,0.484287740623829,0.595098821184605,2.56273143364661,0.678743418700495,0.879542673870143,4.53639429002134,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 16:30:00
"13928",29931,26,6,29,17,0,14,39.4414414414414,25.4974974974975,NA,NA,63.9429429429429,40.9354354354354,NA,NA,0.402609690586379,0.52190843115224,1.33756068308486,0.590186814040988,0.810901136727541,3.20804522012876,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 17:00:00
"13929",32211,26,6,29,17,30,14,38.9434434434434,26.4934934934935,NA,NA,64.9389389389389,39.4414414414414,NA,NA,0.375691105356839,0.492562215304892,0.933781904641749,0.551969516079255,0.791497649463144,2.63478575070277,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 17:30:00
"13930",34491,26,6,29,18,0,14,37.7482482482483,25.4974974974975,NA,NA,65.4369369369369,43.4254254254254,NA,NA,0.349477505762895,0.471225073711238,0.540577910732599,0.514983510886294,0.750823279013886,2.07999567280835,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 18:00:00
"13931",36771,26,6,29,18,30,14,35.9554554554555,24.4019019019019,NA,NA,65.9349349349349,43.4254254254254,NA,NA,0.332142640683888,0.460869842327164,0.280554934547479,0.478787783734172,0.735661751783639,1.53705976552652,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 18:30:00
"13932",39051,26,6,29,19,0,14,35.9554554554555,26.4934934934935,NA,NA,60.954954954955,43.4254254254254,NA,NA,0.314865362112979,0.43515006191613,0.0213957559838596,0.447680992274212,0.718292228900458,1.07045789362711,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 19:00:00
"13933",41331,26,6,29,19,30,14,37.9474474474475,25.4974974974975,NA,NA,62.946946946947,40.9354354354354,NA,NA,0.315466545876581,0.423129764171738,0.030413512437879,0.425039140414073,0.698422911927449,0.730830115725029,NA,NA,NA,NA,NA,NA,0,"R1192B",NA,2026-06-29 19:30:00
