dt,date,Tree_ID,VhrmHRM5,VhrmHRM15,VhrmHRM25,VhrmHRM35,Year,Month,Day,Hour,Minute,Second
2026-03-30T19:00:00Z,2026-03-30,BioR1171_T,2.17811395939551,18.8110869499215,22.6465458541062,24.2713466093923,26,3,30,12,0,14
2026-03-30T19:30:00Z,2026-03-30,BioR1171_T,1.12363555381564,19.6923098090219,21.8091259848903,23.4370470807406,26,3,30,12,30,14
2026-03-30T20:00:00Z,2026-03-30,BioR1171_T,-1.43298313768341,18.5354829674791,22.6877682831812,23.7260592612657,26,3,30,13,0,14
2026-03-30T20:30:00Z,2026-03-30,BioR1171_T,-1.40571220220065,19.732082190574,24.1570934568599,24.1102587218352,26,3,30,13,30,14
2026-03-30T21:00:00Z,2026-03-30,BioR1171_T,-2.07593995225666,19.1827737945658,22.6780263482271,24.3110488591463,26,3,30,14,0,14
2026-03-30T21:30:00Z,2026-03-30,BioR1171_T,2.15924742960392,20.3918892641682,23.6002274609888,22.4875500648287,26,3,30,14,30,14
2026-03-30T22:00:00Z,2026-03-30,BioR1171_T,2.23368352608401,20.4111031371223,21.9756106368027,22.0397206710389,26,3,30,15,0,14
2026-03-30T22:30:00Z,2026-03-30,BioR1171_T,2.86273283328706,19.6480459348172,20.9104624432795,19.3604282336269,26,3,30,15,30,14
2026-03-30T23:00:00Z,2026-03-30,BioR1171_T,0.792331248929208,18.5353207970685,19.1512512430445,16.5699960404951,26,3,30,16,0,14
2026-03-30T23:30:00Z,2026-03-30,BioR1171_T,1.51796137727943,18.280664544533,17.1227138813496,14.5418711132078,26,3,30,16,30,14
2026-03-31T00:00:00Z,2026-03-30,BioR1171_T,5.29611171527207,16.878700419148,16.6848846925625,11.3617241007093,26,3,30,17,0,14
2026-03-31T00:30:00Z,2026-03-30,BioR1171_T,-3.59324853670411,10.437017248555,10.7236472859803,6.75084998908283,26,3,30,17,30,14
2026-03-31T01:00:00Z,2026-03-30,BioR1171_T,-0.534670245048512,8.16973051592768,8.05458747694347,3.90893072062668,26,3,30,18,0,14
2026-03-31T01:30:00Z,2026-03-30,BioR1171_T,-0.505301081668192,3.21112119268884,5.77272296231521,-0.421528779140665,26,3,30,18,30,14
2026-03-31T02:00:00Z,2026-03-30,BioR1171_T,-4.10276291985081,2.77998821330774,3.12482434004647,NA,26,3,30,19,0,14
2026-03-31T02:30:00Z,2026-03-30,BioR1171_T,-4.36560976258867,2.12037999908987,2.82810495546494,NA,26,3,30,19,30,14
