dt,individual,level,canopy,date,period,condition,wp_m,wp_sd,n
2026-06-25T18:00:00Z,1,2,Lower canopy,2026-06-25,MD,predrought,-0.525,0.1060660171779821,2
2026-06-25T11:30:00Z,1,2,Lower canopy,2026-06-25,PD,predrought,-0.31666666666666665,0.16072751268321592,3
2026-07-02T18:00:00Z,1,2,Lower canopy,2026-07-02,MD,drought,-0.6,0.14142135623730948,2
2026-07-02T11:30:00Z,1,2,Lower canopy,2026-07-02,PD,drought,-0.45,NA,1
2026-07-09T18:00:00Z,1,2,Lower canopy,2026-07-09,MD,drought,-0.775,0.03535533905932741,2
2026-07-09T11:30:00Z,1,2,Lower canopy,2026-07-09,PD,drought,-0.75,0.07071067811865482,2
2026-07-14T18:00:00Z,1,2,Lower canopy,2026-07-14,MD,drought,-1.075,0.3181980515339464,2
2026-07-14T11:30:00Z,1,2,Lower canopy,2026-07-14,PD,drought,-0.475,0.03535533905932737,2
2026-07-16T18:00:00Z,1,2,Lower canopy,2026-07-16,MD,recovery,-0.42500000000000004,0.03535533905932737,2
2026-07-16T11:30:00Z,1,2,Lower canopy,2026-07-16,PD,recovery,-0.45,0.07071067811865474,2
2026-07-23T11:30:00Z,1,2,Lower canopy,2026-07-23,PD,recovery,-0.45,0.4949747468305833,2
2026-06-25T18:00:00Z,1,2,Upper canopy,2026-06-25,MD,predrought,-0.7,0.14142135623730956,2
2026-06-25T11:30:00Z,1,2,Upper canopy,2026-06-25,PD,predrought,-0.31666666666666665,0.02886751345948128,3
2026-07-02T18:00:00Z,1,2,Upper canopy,2026-07-02,MD,drought,-0.7,0.14142135623730956,2
2026-07-02T11:30:00Z,1,2,Upper canopy,2026-07-02,PD,drought,-0.55,0.2121320343559642,2
2026-07-09T18:00:00Z,1,2,Upper canopy,2026-07-09,MD,drought,-0.7250000000000001,0.10606601717798214,2
2026-07-09T11:30:00Z,1,2,Upper canopy,2026-07-09,PD,drought,-0.30000000000000004,0.14142135623730953,2
2026-07-14T18:00:00Z,1,2,Upper canopy,2026-07-14,MD,drought,-0.8,0,2
2026-07-14T11:30:00Z,1,2,Upper canopy,2026-07-14,PD,drought,-0.4,0.07071067811865478,2
2026-07-16T18:00:00Z,1,2,Upper canopy,2026-07-16,MD,recovery,-0.3,0,2
2026-07-16T11:30:00Z,1,2,Upper canopy,2026-07-16,PD,recovery,-0.35,0.07071067811865478,2
2026-07-23T11:30:00Z,1,2,Upper canopy,2026-07-23,PD,recovery,-0.6,0.14142135623730948,2
2026-06-25T18:00:00Z,2,3,Lower canopy,2026-06-25,MD,predrought,-0.6499999999999999,0.07071067811865474,2
2026-06-25T11:30:00Z,2,3,Lower canopy,2026-06-25,PD,predrought,-0.2833333333333333,0.02886751345948128,3
2026-07-02T18:00:00Z,2,3,Lower canopy,2026-07-02,MD,drought,-1.375,0.5303300858899106,2
2026-07-02T11:30:00Z,2,3,Lower canopy,2026-07-02,PD,drought,-0.45,0.07071067811865474,2
2026-07-09T18:00:00Z,2,3,Lower canopy,2026-07-09,MD,drought,-1.725,0.1767766952966369,2
2026-07-09T11:30:00Z,2,3,Lower canopy,2026-07-09,PD,drought,-0.575,0.10606601717798214,2
2026-07-14T18:00:00Z,2,3,Lower canopy,2026-07-14,MD,drought,-2.5,0,2
2026-07-14T11:30:00Z,2,3,Lower canopy,2026-07-14,PD,drought,-1.85,0.21213203435596428,2
2026-07-16T18:00:00Z,2,3,Lower canopy,2026-07-16,MD,recovery,-0.375,0.03535533905932741,2
2026-07-16T11:30:00Z,2,3,Lower canopy,2026-07-16,PD,recovery,-0.8,0.28284271247461906,2
2026-07-23T11:30:00Z,2,3,Lower canopy,2026-07-23,PD,recovery,-0.375,0.38890872965260115,2
2026-06-25T18:00:00Z,2,3,Upper canopy,2026-06-25,MD,predrought,-0.95,0.07071067811865474,2
2026-06-25T11:30:00Z,2,3,Upper canopy,2026-06-25,PD,predrought,-0.21666666666666667,0.07637626158259733,3
2026-07-02T18:00:00Z,2,3,Upper canopy,2026-07-02,MD,drought,-1.95,0.07071067811865482,2
2026-07-02T11:30:00Z,2,3,Upper canopy,2026-07-02,PD,drought,-0.15000000000000002,0.07071067811865477,2
2026-07-09T18:00:00Z,2,3,Upper canopy,2026-07-09,MD,drought,-2.05,0.07071067811865482,2
2026-07-09T11:30:00Z,2,3,Upper canopy,2026-07-09,PD,drought,-0.6,0.21213203435596426,2
2026-07-14T18:00:00Z,2,3,Upper canopy,2026-07-14,MD,drought,-2.5,0,2
2026-07-14T11:30:00Z,2,3,Upper canopy,2026-07-14,PD,drought,-2.05,0.07071067811865482,2
2026-07-16T18:00:00Z,2,3,Upper canopy,2026-07-16,MD,recovery,-0.5,0.14142135623730948,2
2026-07-16T11:30:00Z,2,3,Upper canopy,2026-07-16,PD,recovery,-1.2000000000000002,0.14142135623730948,2
2026-07-23T11:30:00Z,2,3,Upper canopy,2026-07-23,PD,recovery,-0.425,0.10606601717798214,2
2026-06-25T18:00:00Z,3,3,Lower canopy,2026-06-25,MD,predrought,-0.6499999999999999,0.07071067811865474,2
2026-06-25T11:30:00Z,3,3,Lower canopy,2026-06-25,PD,predrought,-0.23333333333333334,0.05773502691896256,3
2026-07-02T18:00:00Z,3,3,Lower canopy,2026-07-02,MD,drought,-1.7000000000000002,0.14142135623730948,2
