individual,level,canopy,date,condition,MD_m,PD_m,MD_sd,PD_sd
1,2,Lower canopy,2026-06-25,predrought,-0.525,-0.31666666666666665,0.1060660171779821,0.16072751268321592
1,2,Lower canopy,2026-07-02,drought,-0.6,-0.45,0.14142135623730948,NA
1,2,Lower canopy,2026-07-09,drought,-0.775,-0.75,0.03535533905932741,0.07071067811865482
1,2,Lower canopy,2026-07-14,drought,-1.075,-0.475,0.3181980515339464,0.03535533905932737
1,2,Lower canopy,2026-07-16,recovery,-0.42500000000000004,-0.45,0.03535533905932737,0.07071067811865474
1,2,Upper canopy,2026-06-25,predrought,-0.7,-0.31666666666666665,0.14142135623730956,0.02886751345948128
1,2,Upper canopy,2026-07-02,drought,-0.7,-0.55,0.14142135623730956,0.2121320343559642
1,2,Upper canopy,2026-07-09,drought,-0.7250000000000001,-0.30000000000000004,0.10606601717798214,0.14142135623730953
1,2,Upper canopy,2026-07-14,drought,-0.8,-0.4,0,0.07071067811865478
1,2,Upper canopy,2026-07-16,recovery,-0.3,-0.35,0,0.07071067811865478
2,3,Lower canopy,2026-06-25,predrought,-0.6499999999999999,-0.2833333333333333,0.07071067811865474,0.02886751345948128
2,3,Lower canopy,2026-07-02,drought,-1.375,-0.45,0.5303300858899106,0.07071067811865474
2,3,Lower canopy,2026-07-09,drought,-1.725,-0.575,0.1767766952966369,0.10606601717798214
2,3,Lower canopy,2026-07-14,drought,-2.5,-1.85,0,0.21213203435596428
2,3,Lower canopy,2026-07-16,recovery,-0.375,-0.8,0.03535533905932741,0.28284271247461906
2,3,Upper canopy,2026-06-25,predrought,-0.95,-0.21666666666666667,0.07071067811865474,0.07637626158259733
2,3,Upper canopy,2026-07-02,drought,-1.95,-0.15000000000000002,0.07071067811865482,0.07071067811865477
2,3,Upper canopy,2026-07-09,drought,-2.05,-0.6,0.07071067811865482,0.21213203435596426
2,3,Upper canopy,2026-07-14,drought,-2.5,-2.05,0,0.07071067811865482
2,3,Upper canopy,2026-07-16,recovery,-0.5,-1.2000000000000002,0.14142135623730948,0.14142135623730948
3,3,Lower canopy,2026-06-25,predrought,-0.6499999999999999,-0.23333333333333334,0.07071067811865474,0.05773502691896256
3,3,Lower canopy,2026-07-02,drought,-1.7000000000000002,-0.575,0.14142135623730948,0.24748737341529162
3,3,Lower canopy,2026-07-09,drought,-1.025,-0.35,0.03535533905932741,0.07071067811865478
3,3,Lower canopy,2026-07-14,drought,-1.3,-0.7,0.28284271247461895,0
3,3,Lower canopy,2026-07-16,recovery,-0.2,-0.175,0,0.03535533905932739
3,3,Upper canopy,2026-06-25,predrought,-0.7,-0.22499999999999998,0,0.17677669529663687
3,3,Upper canopy,2026-07-02,drought,-0.975,-0.275,0.03535533905932741,0.1060660171779821
3,3,Upper canopy,2026-07-09,drought,-1.075,-0.375,0.10606601717798207,0.10606601717798214
3,3,Upper canopy,2026-07-14,drought,-1.125,-0.5,0.10606601717798207,0.14142135623730948
3,3,Upper canopy,2026-07-16,recovery,-0.375,-0.1,0.31819805153394637,0
4,3,Lower canopy,2026-06-25,predrought,-0.875,-0.25,0.2474873734152917,0.04999999999999999
4,3,Lower canopy,2026-07-02,drought,-1.925,-0.375,0.10606601717798207,0.03535533905932741
4,3,Lower canopy,2026-07-09,drought,-1.675,-0.375,0.7424621202458751,0.10606601717798214
4,3,Lower canopy,2026-07-14,drought,-1.6,-0.55,0.7071067811865476,0.07071067811865474
4,3,Lower canopy,2026-07-16,recovery,-0.32499999999999996,-0.5,0.03535533905932737,0.14142135623730948
4,3,Upper canopy,2026-06-25,predrought,-1,-0.26666666666666666,0.07071067811865482,0.11547005383792516
4,3,Upper canopy,2026-07-02,drought,-2.05,-0.35,0.07071067811865482,0.07071067811865478
4,3,Upper canopy,2026-07-09,drought,-1.6,-0.55,0.5656854249492381,0
4,3,Upper canopy,2026-07-14,drought,-2.3,-0.35,0.1414213562373093,0.07071067811865478
4,3,Upper canopy,2026-07-16,recovery,-0.45,-0.7,0.07071067811865474,0.28284271247461906
